seg_id,segment_label_expected,segment_label_actual,overlap_flag_expected,overlap_flag_actual,flow_type_expected,flow_type_actual,range_a_expected,range_a_actual,range_b_expected,range_b_actual,total_a_expected,total_a_actual,total_b_expected,total_b_actual,convergence_point_expected,convergence_point_actual,overtake_a_expected,overtake_a_actual,overtake_aPct_expected,overtake_aPct_actual,overtake_b_expected,overtake_b_actual,overtake_bPct_expected,overtake_bPct_actual,event_a_firstEntry_expected,event_a_firstEntry_actual,event_b_firstEntry_expected,event_b_firstEntry_actual,event_a_lastExit_expected,event_a_lastExit_actual,event_b_lastExit_expected,event_b_lastExit_actual,differences,critical_failures,status,status_reason,num_differences,num_critical_failures
A1a,Start to Queen/Regent (10K/Half),Start to Queen/Regent (10K/Half),y,n,overtake,overtake,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,618,618,912,912,,,0,0,0.0,0.0,0,0,0.0,0.0,07:20:00,07:20:00,07:40:00,07:40:00,07:42:02,07:42:02,07:53:12,07:53:12,,,PASS,Perfect match,0,0
A1b,Queen/Regent to WSB mid-point (10K/Half),Queen/Regent to WSB mid-point (10K/Half),y,y,overtake,overtake,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,618,618,912,912,1.31,1.31,1,1,0.2,0.16181229773462785,4,4,0.4,0.43859649122807015,07:23:01,07:23:01,07:43:13,07:43:13,07:47:41,07:47:41,08:04:37,08:04:37,,,PASS,Perfect match,0,0
A1c,WSB mid-point to Friel (10K/Half),WSB mid-point to Friel (10K/Half),y,y,overtake,overtake,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,618,618,912,912,1.8,1.8,1,1,0.2,0.16181229773462785,16,16,1.8,1.7543859649122806,07:26:03,07:26:03,07:46:26,07:46:26,07:53:20,07:53:20,08:16:02,08:16:02,,,PASS,Perfect match,0,0
A2a,Start to Queen/Regent (10K/Full),Start to Queen/Regent (10K/Full),y,n,overtake,overtake,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,618,618,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:20:00,07:20:00,07:00:00,07:00:00,07:42:02,07:42:02,07:09:26,07:09:26,,,PASS,Perfect match,0,0
A2b,Queen/Regent to WSB mid-point (10K/Full),Queen/Regent to WSB mid-point (10K/Full),y,n,overtake,overtake,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,618,618,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:23:01,07:23:01,07:03:33,07:03:33,07:47:41,07:47:41,07:17:06,07:17:06,,,PASS,Perfect match,0,0
A2c,WSB mid-point to Friel  (10KFull),WSB mid-point to Friel  (10KFull),y,n,overtake,overtake,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,618,618,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:26:03,07:26:03,07:07:05,07:07:05,07:53:20,07:53:20,07:24:46,07:24:46,,,PASS,Perfect match,0,0
A3a,Start to Queen/Regent (Half/Full),Start to Queen/Regent (Half/Full),y,n,overtake,overtake,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,0.0km to 0.9km,912,912,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:40:00,07:40:00,07:00:00,07:00:00,07:53:12,07:53:12,07:09:26,07:09:26,,,PASS,Perfect match,0,0
A3b,Queen/Regent to WSB mid-point (Half/Full),Queen/Regent to WSB mid-point (Half/Full),y,n,overtake,overtake,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,0.9km to 1.8km,912,912,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:43:13,07:43:13,07:03:33,07:03:33,08:04:37,08:04:37,07:17:06,07:17:06,,,PASS,Perfect match,0,0
A3c,WSB mid-point to Friel (Half/Full),WSB mid-point to Friel (Half/Full),y,n,overtake,overtake,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,1.8km to 2.7km,912,912,368,368,,,0,0,0.0,0.0,0,0,0.0,0.0,07:46:26,07:46:26,07:07:05,07:07:05,08:16:02,08:16:02,07:24:46,07:24:46,,,PASS,Perfect match,0,0
B1,Friel to 10K Turn (outbound),Friel to 10K Turn (outbound),y,y,overtake,overtake,2.7km to 4.2km,2.7km to 4.25km,2.7km to 4.2km,2.7km to 4.25km,618,618,368,368,3.53,3.53,2,2,0.3,0.3236245954692557,1,1,0.3,0.2717391304347826,07:29:05,07:29:05,07:10:38,07:10:38,08:11:43,08:11:43,07:37:58,07:37:58,"range_a: ""2.7km to 4.2km"" → ""2.7km to 4.25km""; range_b: ""2.7km to 4.2km"" → ""2.7km to 4.25km""",,PASS,Only enhancements/precision differences,2,0
C1,10K Turn to Friel (10K slow vs Full fast),10K Turn to Friel (10K slow vs Full fast),y,y,overtake,overtake,4.2km to 5.8km,4.25km to 5.8km,14.8km to 16.4km,14.8km to 16.35km,618,618,368,368,4.25,4.25,54,54,8.7,8.737864077669903,77,77,20.9,20.92391304347826,07:34:18,07:34:18,07:58:13,07:58:13,08:30:26,08:30:26,09:21:01,09:21:01,"range_a: ""4.2km to 5.8km"" → ""4.25km to 5.8km""; range_b: ""14.8km to 16.4km"" → ""14.8km to 16.35km""",,PASS,Only enhancements/precision differences,2,0
