event,runner_id,pace,distance,start_offset
half,1618,3.583333333,21.1,0
half,1619,3.7,21.1,3
half,1620,3.8,21.1,0
half,1621,3.816666667,21.1,3
half,1622,3.816666667,21.1,1
half,1623,3.85,21.1,22
half,1624,3.883333333,21.1,2
half,1625,3.9,21.1,5
half,1626,3.9,21.1,8
half,1627,3.933333333,21.1,0
half,1628,3.966666667,21.1,0
half,1629,3.983333333,21.1,2
half,1630,4.016666667,21.1,2
half,1631,4.033333333,21.1,6
half,1632,4.033333333,21.1,0
half,1633,4.033333333,21.1,8
half,1634,4.05,21.1,0
half,1635,4.066666667,21.1,9
half,1636,4.066666667,21.1,5
half,1637,4.083333333,21.1,4
half,1638,4.1,21.1,6
half,1639,4.1,21.1,2
half,1640,4.116666667,21.1,3
half,1641,4.116666667,21.1,5
half,1642,4.133333333,21.1,4
half,1643,4.133333333,21.1,17
half,1644,4.15,21.1,6
half,1645,4.166666667,21.1,4
half,1646,4.166666667,21.1,3
half,1647,4.166666667,21.1,2
half,1648,4.15,21.1,21
half,1649,4.166666667,21.1,8
half,1650,4.166666667,21.1,5
half,1651,4.183333333,21.1,3
half,1652,4.183333333,21.1,9
half,1653,4.183333333,21.1,9
half,1654,4.166666667,21.1,28
half,1655,4.216666667,21.1,12
half,1656,4.266666667,21.1,12
half,1657,4.266666667,21.1,6
half,1658,4.266666667,21.1,18
half,1659,4.3,21.1,7
half,1660,4.3,21.1,4
half,1661,4.316666667,21.1,3
half,1662,4.316666667,21.1,9
half,1663,4.316666667,21.1,5
half,1664,4.366666667,21.1,5
half,1665,4.366666667,21.1,9
half,1666,4.383333333,21.1,13
half,1667,4.383333333,21.1,5
half,1668,4.4,21.1,4
half,1669,4.4,21.1,12
half,1670,4.4,21.1,16
half,1671,4.4,21.1,16
half,1672,4.416666667,21.1,16
half,1673,4.416666667,21.1,6
half,1674,4.416666667,21.1,4
half,1675,4.416666667,21.1,16
half,1676,4.4,21.1,31
half,1677,4.433333333,21.1,5
half,1678,4.433333333,21.1,6
half,1679,4.433333333,21.1,5
half,1680,4.45,21.1,16
half,1681,4.45,21.1,19
half,1682,4.466666667,21.1,7
half,1683,4.466666667,21.1,6
half,1684,4.466666667,21.1,4
half,1685,4.466666667,21.1,11
half,1686,4.466666667,21.1,31
half,1687,4.483333333,21.1,11
half,1688,4.5,21.1,11
half,1689,4.5,21.1,8
half,1690,4.516666667,21.1,5
half,1691,4.5,21.1,23
half,1692,4.516666667,21.1,14
half,1693,4.516666667,21.1,20
half,1694,4.55,21.1,11
half,1695,4.55,21.1,19
half,1696,4.566666667,21.1,12
half,1697,4.566666667,21.1,21
half,1698,4.566666667,21.1,9
half,1699,4.566666667,21.1,15
half,1700,4.583333333,21.1,14
half,1701,4.583333333,21.1,23
half,1702,4.6,21.1,24
half,1703,4.6,21.1,23
half,1704,4.616666667,21.1,30
half,1705,4.633333333,21.1,7
half,1706,4.616666667,21.1,25
half,1707,4.65,21.1,6
half,1708,4.666666667,21.1,12
half,1709,4.666666667,21.1,8
half,1710,4.666666667,21.1,27
half,1711,4.633333333,21.1,73
half,1712,4.683333333,21.1,6
half,1713,4.666666667,21.1,34
half,1714,4.683333333,21.1,21
half,1715,4.683333333,21.1,14
half,1716,4.683333333,21.1,15
half,1717,4.666666667,21.1,35
half,1718,4.683333333,21.1,13
half,1719,4.683333333,21.1,8
half,1720,4.683333333,21.1,30
half,1721,4.7,21.1,10
half,1722,4.683333333,21.1,43
half,1723,4.7,21.1,11
half,1724,4.716666667,21.1,10
half,1725,4.716666667,21.1,18
half,1726,4.716666667,21.1,19
half,1727,4.716666667,21.1,7
half,1728,4.733333333,21.1,9
half,1729,4.633333333,21.1,124
half,1730,4.716666667,21.1,25
half,1731,4.733333333,21.1,11
half,1732,4.7,21.1,54
half,1733,4.733333333,21.1,11
half,1734,4.75,21.1,5
half,1735,4.733333333,21.1,33
half,1736,4.75,21.1,16
half,1737,4.75,21.1,17
half,1738,4.75,21.1,17
half,1739,4.766666667,21.1,19
half,1740,4.766666667,21.1,27
half,1741,4.733333333,21.1,56
half,1742,4.766666667,21.1,19
half,1743,4.783333333,21.1,9
half,1744,4.75,21.1,44
half,1745,4.783333333,21.1,19
half,1746,4.783333333,21.1,3
half,1747,4.783333333,21.1,17
half,1748,4.816666667,21.1,14
half,1749,4.816666667,21.1,18
half,1750,4.783333333,21.1,55
half,1751,4.816666667,21.1,21
half,1752,4.833333333,21.1,11
half,1753,4.833333333,21.1,14
half,1754,4.833333333,21.1,21
half,1755,4.833333333,21.1,21
half,1756,4.833333333,21.1,22
half,1757,4.833333333,21.1,27
half,1758,4.833333333,21.1,40
half,1759,4.85,21.1,35
half,1760,4.85,21.1,22
half,1761,4.866666667,21.1,6
half,1762,4.883333333,21.1,13
half,1763,4.883333333,21.1,23
half,1764,4.866666667,21.1,35
half,1765,4.883333333,21.1,17
half,1766,4.866666667,21.1,40
half,1767,4.883333333,21.1,19
half,1768,4.883333333,21.1,18
half,1769,4.883333333,21.1,22
half,1770,4.883333333,21.1,29
half,1771,4.883333333,21.1,36
half,1772,4.9,21.1,25
half,1773,4.9,21.1,30
half,1774,4.9,21.1,17
half,1775,4.916666667,21.1,8
half,1776,4.9,21.1,25
half,1777,4.916666667,21.1,15
half,1778,4.933333333,21.1,11
half,1779,4.916666667,21.1,19
half,1780,4.916666667,21.1,22
half,1781,4.933333333,21.1,14
half,1782,4.933333333,21.1,17
