bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:00:00Z,2025-10-15T07:02:00Z,0.3530,5.5284,B,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:00:00Z,2025-10-15T07:02:00Z,0.1820,3.1627,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:00:00Z,2025-10-15T07:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:00:00Z,2025-10-15T07:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:00:00Z,2025-10-15T07:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:02:00Z,2025-10-15T07:04:00Z,0.0640,0.7698,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:02:00Z,2025-10-15T07:04:00Z,0.2130,2.8625,B,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:02:00Z,2025-10-15T07:04:00Z,0.2810,4.5177,B,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:02:00Z,2025-10-15T07:04:00Z,0.1500,2.6197,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:02:00Z,2025-10-15T07:04:00Z,0.0280,0.5671,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:04:00Z,2025-10-15T07:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:04:00Z,2025-10-15T07:06:00Z,0.0210,0.2292,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:04:00Z,2025-10-15T07:06:00Z,0.1180,1.4536,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:04:00Z,2025-10-15T07:06:00Z,0.1870,2.6493,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:04:00Z,2025-10-15T07:06:00Z,0.1320,2.0693,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:06:00Z,2025-10-15T07:08:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:06:00Z,2025-10-15T07:08:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:06:00Z,2025-10-15T07:08:00Z,0.0040,0.0412,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:06:00Z,2025-10-15T07:08:00Z,0.0780,0.8975,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:06:00Z,2025-10-15T07:08:00Z,0.0440,0.5499,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:08:00Z,2025-10-15T07:10:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:08:00Z,2025-10-15T07:10:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:08:00Z,2025-10-15T07:10:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:08:00Z,2025-10-15T07:10:00Z,0.0010,0.0098,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:08:00Z,2025-10-15T07:10:00Z,0.0130,0.1393,A,0.2000,1.0.0,
