segment_id,t_start,t_end,density_mean_canon,density_peak,n_bins
A1,2025-10-15 07:00:00+00:00,2025-10-15 07:02:00+00:00,0.107,0.353,5.0
A1,2025-10-15 07:02:00+00:00,2025-10-15 07:04:00+00:00,0.1472,0.281,5.0
A1,2025-10-15 07:04:00+00:00,2025-10-15 07:06:00+00:00,0.0916,0.187,5.0
A1,2025-10-15 07:06:00+00:00,2025-10-15 07:08:00+00:00,0.025200000000000004,0.078,5.0
A1,2025-10-15 07:08:00+00:00,2025-10-15 07:10:00+00:00,0.0028,0.013000000000000001,5.0
A1,2025-10-15 07:10:00+00:00,2025-10-15 07:12:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:12:00+00:00,2025-10-15 07:14:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:14:00+00:00,2025-10-15 07:16:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:16:00+00:00,2025-10-15 07:18:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:18:00+00:00,2025-10-15 07:20:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:20:00+00:00,2025-10-15 07:22:00+00:00,0.19,0.749,5.0
A1,2025-10-15 07:22:00+00:00,2025-10-15 07:24:00+00:00,0.24580000000000002,0.5630000000000001,5.0
A1,2025-10-15 07:24:00+00:00,2025-10-15 07:26:00+00:00,0.1996,0.47400000000000003,5.0
A1,2025-10-15 07:26:00+00:00,2025-10-15 07:28:00+00:00,0.0664,0.148,5.0
A1,2025-10-15 07:28:00+00:00,2025-10-15 07:30:00+00:00,0.0182,0.049,5.0
A1,2025-10-15 07:30:00+00:00,2025-10-15 07:32:00+00:00,0.0033999999999999994,0.017,5.0
A1,2025-10-15 07:32:00+00:00,2025-10-15 07:34:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:34:00+00:00,2025-10-15 07:36:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:36:00+00:00,2025-10-15 07:38:00+00:00,0.0004,0.002,5.0
A1,2025-10-15 07:38:00+00:00,2025-10-15 07:40:00+00:00,0.00039999999999999996,0.001,5.0
A1,2025-10-15 07:40:00+00:00,2025-10-15 07:42:00+00:00,0.1934,0.749,5.0
A1,2025-10-15 07:42:00+00:00,2025-10-15 07:44:00+00:00,0.3636,0.755,5.0
A1,2025-10-15 07:44:00+00:00,2025-10-15 07:46:00+00:00,0.2862,0.547,5.0
A1,2025-10-15 07:46:00+00:00,2025-10-15 07:48:00+00:00,0.1184,0.336,5.0
A1,2025-10-15 07:48:00+00:00,2025-10-15 07:50:00+00:00,0.021,0.07200000000000001,5.0
A1,2025-10-15 07:50:00+00:00,2025-10-15 07:52:00+00:00,0.0022,0.007,5.0
A1,2025-10-15 07:52:00+00:00,2025-10-15 07:54:00+00:00,0.00019999999999999996,0.001,5.0
A1,2025-10-15 07:54:00+00:00,2025-10-15 07:56:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:56:00+00:00,2025-10-15 07:58:00+00:00,0.0,0.0,5.0
A1,2025-10-15 07:58:00+00:00,2025-10-15 08:00:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:00:00+00:00,2025-10-15 08:02:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:02:00+00:00,2025-10-15 08:04:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:04:00+00:00,2025-10-15 08:06:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:06:00+00:00,2025-10-15 08:08:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:08:00+00:00,2025-10-15 08:10:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:10:00+00:00,2025-10-15 08:12:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:12:00+00:00,2025-10-15 08:14:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:14:00+00:00,2025-10-15 08:16:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:16:00+00:00,2025-10-15 08:18:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:18:00+00:00,2025-10-15 08:20:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:20:00+00:00,2025-10-15 08:22:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:22:00+00:00,2025-10-15 08:24:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:24:00+00:00,2025-10-15 08:26:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:26:00+00:00,2025-10-15 08:28:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:28:00+00:00,2025-10-15 08:30:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:30:00+00:00,2025-10-15 08:32:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:32:00+00:00,2025-10-15 08:34:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:34:00+00:00,2025-10-15 08:36:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:36:00+00:00,2025-10-15 08:38:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:38:00+00:00,2025-10-15 08:40:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:40:00+00:00,2025-10-15 08:42:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:42:00+00:00,2025-10-15 08:44:00+00:00,0.0,0.0,5.0
A1,2025-10-15 08:44:00+00:00,2025-10-15 08:46:00+00:00,0.0,0.0,5.0
