event,runner_id,pace,distance,start_offset,day
Full,2530,3.933333333,42.2,1,sun
Full,2531,3.966666667,42.2,0,sun
Full,2532,3.983333333,42.2,3,sun
Full,2533,4.0,42.2,2,sun
Full,2534,4.016666667,42.2,0,sun
Full,2535,4.016666667,42.2,5,sun
Full,2536,4.016666667,42.2,23,sun
Full,2537,4.033333333,42.2,5,sun
Full,2538,4.05,42.2,0,sun
Full,2539,4.05,42.2,3,sun
Full,2540,4.066666667,42.2,3,sun
Full,2541,4.066666667,42.2,0,sun
Full,2542,4.066666667,42.2,4,sun
Full,2543,4.083333333,42.2,0,sun
Full,2544,4.083333333,42.2,1,sun
Full,2545,4.116666667,42.2,0,sun
Full,2546,4.133333333,42.2,0,sun
Full,2547,4.133333333,42.2,4,sun
Full,2548,4.15,42.2,5,sun
Full,2549,4.15,42.2,9,sun
Full,2550,4.2,42.2,4,sun
Full,2551,4.2,42.2,0,sun
Full,2552,4.216666667,42.2,7,sun
Full,2553,4.233333333,42.2,4,sun
Full,2554,4.25,42.2,4,sun
Full,2555,4.25,42.2,2,sun
Full,2556,4.25,42.2,4,sun
Full,2557,4.266666667,42.2,10,sun
Full,2558,4.283333333,42.2,5,sun
Full,2559,4.283333333,42.2,0,sun
Full,2560,4.283333333,42.2,10,sun
Full,2561,4.3,42.2,3,sun
Full,2562,4.316666667,42.2,4,sun
Full,2563,4.333333333,42.2,4,sun
Full,2564,4.333333333,42.2,22,sun
Full,2565,4.383333333,42.2,10,sun
Full,2566,4.416666667,42.2,4,sun
Full,2567,4.416666667,42.2,12,sun
Full,2568,4.416666667,42.2,17,sun
Full,2569,4.45,42.2,19,sun
Full,2570,4.466666667,42.2,5,sun
Full,2571,4.483333333,42.2,4,sun
Full,2572,4.483333333,42.2,17,sun
Full,2573,4.483333333,42.2,9,sun
Full,2574,4.5,42.2,12,sun
Full,2575,4.516666667,42.2,7,sun
Full,2576,4.516666667,42.2,3,sun
Full,2577,4.516666667,42.2,12,sun
Full,2578,4.533333333,42.2,2,sun
Full,2579,4.55,42.2,6,sun
Full,2580,4.583333333,42.2,8,sun
Full,2581,4.616666667,42.2,9,sun
Full,2582,4.616666667,42.2,38,sun
Full,2583,4.65,42.2,2,sun
Full,2584,4.666666667,42.2,13,sun
Full,2585,4.666666667,42.2,7,sun
Full,2586,4.683333333,42.2,16,sun
Full,2587,4.683333333,42.2,7,sun
Full,2588,4.683333333,42.2,10,sun
Full,2589,4.683333333,42.2,18,sun
Full,2590,4.683333333,42.2,6,sun
Full,2591,4.683333333,42.2,16,sun
Full,2592,4.683333333,42.2,15,sun
Full,2593,4.7,42.2,0,sun
Full,2594,4.7,42.2,35,sun
Full,2595,4.716666667,42.2,7,sun
Full,2596,4.733333333,42.2,6,sun
Full,2597,4.733333333,42.2,9,sun
Full,2598,4.733333333,42.2,20,sun
Full,2599,4.75,42.2,8,sun
Full,2600,4.75,42.2,10,sun
Full,2601,4.766666667,42.2,1,sun
Full,2602,4.75,42.2,45,sun
Full,2603,4.766666667,42.2,20,sun
Full,2604,4.766666667,42.2,9,sun
Full,2605,4.783333333,42.2,6,sun
Full,2606,4.783333333,42.2,9,sun
Full,2607,4.783333333,42.2,6,sun
Full,2608,4.8,42.2,5,sun
Full,2609,4.8,42.2,7,sun
Full,2610,4.8,42.2,24,sun
Full,2611,4.8,42.2,29,sun
Full,2612,4.8,42.2,6,sun
Full,2613,4.816666667,42.2,13,sun
Full,2614,4.816666667,42.2,10,sun
Full,2615,4.816666667,42.2,22,sun
Full,2616,4.833333333,42.2,5,sun
Full,2617,4.833333333,42.2,22,sun
Full,2618,4.833333333,42.2,9,sun
Full,2619,4.85,42.2,9,sun
Full,2620,4.85,42.2,28,sun
Full,2621,4.85,42.2,16,sun
Full,2622,4.866666667,42.2,9,sun
Full,2623,4.866666667,42.2,6,sun
Full,2624,4.866666667,42.2,6,sun
Full,2625,4.866666667,42.2,3,sun
Full,2626,4.883333333,42.2,5,sun
Full,2627,4.883333333,42.2,9,sun
Full,2628,4.883333333,42.2,22,sun
Full,2629,4.883333333,42.2,28,sun
Full,2630,4.883333333,42.2,16,sun
Full,2631,4.933333333,42.2,14,sun
Full,2632,4.933333333,42.2,25,sun
Full,2633,4.933333333,42.2,6,sun
Full,2634,4.933333333,42.2,11,sun
Full,2635,4.95,42.2,19,sun
Full,2636,4.95,42.2,15,sun
Full,2637,4.966666667,42.2,6,sun
Full,2638,4.95,42.2,15,sun
Full,2639,4.966666667,42.2,8,sun
Full,2640,4.966666667,42.2,19,sun
Full,2641,4.966666667,42.2,25,sun
Full,2642,4.983333333,42.2,13,sun
Full,2643,4.983333333,42.2,14,sun
Full,2644,4.983333333,42.2,20,sun
Full,2645,4.983333333,42.2,10,sun
Full,2646,5.0,42.2,4,sun
Full,2647,4.983333333,42.2,11,sun
Full,2648,5.0,42.2,16,sun
Full,2649,5.0,42.2,12,sun
Full,2650,5.016666667,42.2,9,sun
Full,2651,5.016666667,42.2,3,sun
Full,2652,5.016666667,42.2,13,sun
Full,2653,5.033333333,42.2,10,sun
Full,2654,5.05,42.2,0,sun
Full,2655,5.05,42.2,11,sun
Full,2656,5.05,42.2,7,sun
Full,2657,5.05,42.2,8,sun
Full,2658,5.066666667,42.2,16,sun
Full,2659,5.083333333,42.2,20,sun
Full,2660,5.083333333,42.2,16,sun
Full,2661,5.116666667,42.2,14,sun
Full,2662,5.116666667,42.2,23,sun
Full,2663,5.116666667,42.2,51,sun
Full,2664,5.15,42.2,11,sun
Full,2665,5.15,42.2,10,sun
Full,2666,5.166666667,42.2,11,sun
Full,2667,5.166666667,42.2,24,sun
Full,2668,5.166666667,42.2,11,sun
Full,2669,5.166666667,42.2,11,sun
Full,2670,5.183333333,42.2,11,sun
Full,2671,5.166666667,42.2,28,sun
Full,2672,5.183333333,42.2,13,sun
Full,2673,5.183333333,42.2,16,sun
Full,2674,5.183333333,42.2,28,sun
Full,2675,5.183333333,42.2,17,sun
Full,2676,5.2,42.2,6,sun
Full,2677,5.2,42.2,14,sun
Full,2678,5.2,42.2,17,sun
Full,2679,5.2,42.2,16,sun
Full,2680,5.2,42.2,36,sun
Full,2681,5.216666667,42.2,18,sun
Full,2682,5.216666667,42.2,22,sun
Full,2683,5.233333333,42.2,16,sun
Full,2684,5.25,42.2,14,sun
