km,10K_runners,Half_runners,combined_runners
0,0,0,0
0.03,0,0,0
0.06,0,0,0
0.09,0,0,0
0.12,0,0,0
0.15,0,0,0
0.18,0,0,0
0.21,0,0,0
0.24,0,0,0
0.27,0,0,0
0.3,0,0,0
0.33,0,0,0
0.36,0,0,0
0.39,0,0,0
0.42,0,0,0
0.45,0,0,0
0.48,0,0,0
0.51,0,0,0
0.54,0,0,0
0.57,0,0,0
0.6,0,0,0
0.63,0,0,0
0.66,0,0,0
0.69,0,0,0
0.72,0,0,0
0.75,0,0,0
0.78,0,0,0
0.81,0,0,0
0.84,0,0,0
0.87,0,0,0
0.9,0,0,0
0.93,0,0,0
0.96,0,0,0
0.99,0,0,0
1.02,0,0,0
1.05,0,0,0
1.08,0,0,0
1.11,0,0,0
1.14,0,0,0
1.17,0,0,0
1.2,0,0,0
1.23,0,0,0
1.26,0,0,0
1.29,0,0,0
1.32,0,0,0
1.35,0,0,0
1.38,0,0,0
1.41,0,0,0
1.44,0,0,0
1.47,0,0,0
1.5,0,0,0
1.53,0,0,0
1.56,0,0,0
1.59,0,0,0
1.62,0,0,0
1.65,0,0,0
1.68,0,0,0
1.71,0,0,0
1.74,0,0,0
1.77,0,0,0
1.8,0,0,0
1.83,0,0,0
1.86,0,0,0
1.89,0,0,0
1.92,0,0,0
1.95,0,0,0
1.98,0,0,0
2.01,0,0,0
2.04,0,0,0
2.07,0,0,0
2.1,0,0,0
2.13,0,0,0
2.16,0,0,0
2.19,0,0,0
2.22,0,0,0
2.25,1,1,2
2.28,1,2,3
2.31,1,6,7
2.34,5,10,15
2.37,5,17,22
2.4,5,28,33
2.43,6,38,44
2.46,6,46,52
2.49,10,64,74
2.52,10,76,86
2.55,10,88,98
2.58,10,113,123
2.61,10,131,141
2.64,12,154,166
2.67,12,178,190
2.7,12,189,201
2.73,16,206,222
