seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,worst_zone_index,convergence_points_json,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,0.0,2.58,0.0,2.58,5.0,20,20,"2902, 2908, 2909, ... (10 total)","2902, 2908, 2909, ... (10 total)",51.3,51.3,39,39,1521,39,2.8,2.8,14,14,True,True,True,True,True,0.0,0.13,,200.0,0,"[{""km"": 0.0, ""type"": ""true_pass""}, {""km"": 0.11, ""type"": ""true_pass""}, {""km"": 0.21, ""type"": ""true_pass""}, {""km"": 0.31, ""type"": ""true_pass""}, {""km"": 0.41, ""type"": ""true_pass""}, {""km"": 0.51, ""type"": ""true_pass""}, {""km"": 0.61, ""type"": ""true_pass""}, {""km"": 0.71, ""type"": ""true_pass""}, {""km"": 0.81, ""type"": ""true_pass""}, {""km"": 0.91, ""type"": ""true_pass""}, {""km"": 1.01, ""type"": ""true_pass""}, {""km"": 1.11, ""type"": ""true_pass""}, {""km"": 1.21, ""type"": ""true_pass""}, {""km"": 1.31, ""type"": ""true_pass""}, {""km"": 1.41, ""type"": ""true_pass""}, {""km"": 1.51, ""type"": ""true_pass""}, {""km"": 1.61, ""type"": ""true_pass""}, {""km"": 1.71, ""type"": ""true_pass""}, {""km"": 1.81, ""type"": ""true_pass""}, {""km"": 1.91, ""type"": ""true_pass""}, {""km"": 2.02, ""type"": ""true_pass""}, {""km"": 2.13, ""type"": ""true_pass""}, {""km"": 2.24, ""type"": ""true_pass""}, {""km"": 2.35, ""type"": ""true_pass""}, {""km"": 2.46, ""type"": ""true_pass""}, {""km"": 2.57, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,2.58,4.81,2.58,4.81,100.0,0,0,,,0.0,0.0,39,39,295,39,0.0,0.0,0,0,True,False,False,False,False,2.58,2.69,SPATIAL_ONLY_NO_TEMPORAL,200.0,0,"[{""km"": 2.58, ""type"": ""true_pass""}, {""km"": 2.69, ""type"": ""true_pass""}, {""km"": 2.8, ""type"": ""true_pass""}, {""km"": 2.91, ""type"": ""true_pass""}, {""km"": 3.02, ""type"": ""true_pass""}, {""km"": 3.13, ""type"": ""true_pass""}, {""km"": 3.24, ""type"": ""true_pass""}, {""km"": 3.35, ""type"": ""true_pass""}, {""km"": 3.46, ""type"": ""true_pass""}, {""km"": 3.57, ""type"": ""true_pass""}, {""km"": 3.68, ""type"": ""true_pass""}, {""km"": 3.79, ""type"": ""true_pass""}, {""km"": 3.9, ""type"": ""true_pass""}, {""km"": 4.01, ""type"": ""true_pass""}, {""km"": 4.12, ""type"": ""true_pass""}, {""km"": 4.23, ""type"": ""true_pass""}, {""km"": 4.34, ""type"": ""true_pass""}, {""km"": 4.45, ""type"": ""true_pass""}, {""km"": 4.56, ""type"": ""true_pass""}, {""km"": 4.67, ""type"": ""true_pass""}, {""km"": 4.78, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,2.58,4.81,0.0,2.58,100.0,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,2.58,2.69,SPATIAL_ONLY_NO_TEMPORAL,200.0,0,"[{""km"": 2.58, ""type"": ""true_pass""}, {""km"": 2.68, ""type"": ""true_pass""}, {""km"": 2.78, ""type"": ""true_pass""}, {""km"": 2.88, ""type"": ""true_pass""}, {""km"": 2.99, ""type"": ""true_pass""}, {""km"": 3.09, ""type"": ""true_pass""}, {""km"": 3.19, ""type"": ""true_pass""}, {""km"": 3.29, ""type"": ""true_pass""}, {""km"": 3.39, ""type"": ""true_pass""}, {""km"": 3.49, ""type"": ""true_pass""}, {""km"": 3.59, ""type"": ""true_pass""}, {""km"": 3.7, ""type"": ""true_pass""}, {""km"": 3.81, ""type"": ""true_pass""}, {""km"": 3.91, ""type"": ""true_pass""}, {""km"": 4.01, ""type"": ""true_pass""}, {""km"": 4.11, ""type"": ""true_pass""}, {""km"": 4.21, ""type"": ""true_pass""}, {""km"": 4.31, ""type"": ""true_pass""}, {""km"": 4.42, ""type"": ""true_pass""}, {""km"": 4.52, ""type"": ""true_pass""}, {""km"": 4.62, ""type"": ""true_pass""}, {""km"": 4.72, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
N3a,5K Elite Finish (Queen/York to Finish),elite,elite,39,39,overtake,4.81,5.0,4.81,5.0,100.0,0,0,,,0.0,0.0,39,39,81,39,0.0,0.0,0,0,True,False,False,False,False,4.81,4.86,SPATIAL_ONLY_NO_TEMPORAL,100.0,0,"[{""km"": 4.81, ""type"": ""true_pass""}, {""km"": 4.92, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
N3b,5K Elite Finish ovetake Lap 2,elite,elite,39,39,overtake,4.81,5.0,2.58,4.81,100.0,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,4.81,4.86,SPATIAL_ONLY_NO_TEMPORAL,100.0,0,"[{""km"": 4.81, ""type"": ""true_pass""}, {""km"": 4.91, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,0.0,2.58,0.0,2.58,5.0,526,526,"3015, 3071, 3080, ... (10 total)","3015, 3071, 3080, ... (10 total)",95.6,95.6,550,550,573650,550,81.9,81.9,399,399,True,True,True,True,True,0.08,0.34,,200.0,1,"[{""km"": 0.0, ""type"": ""true_pass""}, {""km"": 0.11, ""type"": ""true_pass""}, {""km"": 0.21, ""type"": ""true_pass""}, {""km"": 0.31, ""type"": ""true_pass""}, {""km"": 0.41, ""type"": ""true_pass""}, {""km"": 0.51, ""type"": ""true_pass""}, {""km"": 0.61, ""type"": ""true_pass""}, {""km"": 0.71, ""type"": ""true_pass""}, {""km"": 0.81, ""type"": ""true_pass""}, {""km"": 0.91, ""type"": ""true_pass""}, {""km"": 1.01, ""type"": ""true_pass""}, {""km"": 1.11, ""type"": ""true_pass""}, {""km"": 1.21, ""type"": ""true_pass""}, {""km"": 1.31, ""type"": ""true_pass""}, {""km"": 1.41, ""type"": ""true_pass""}, {""km"": 1.51, ""type"": ""true_pass""}, {""km"": 1.61, ""type"": ""true_pass""}, {""km"": 1.71, ""type"": ""true_pass""}, {""km"": 1.81, ""type"": ""true_pass""}, {""km"": 1.91, ""type"": ""true_pass""}, {""km"": 2.02, ""type"": ""true_pass""}, {""km"": 2.13, ""type"": ""true_pass""}, {""km"": 2.24, ""type"": ""true_pass""}, {""km"": 2.35, ""type"": ""true_pass""}, {""km"": 2.46, ""type"": ""true_pass""}, {""km"": 2.57, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,2.58,4.81,2.58,4.81,100.0,323,323,"2992, 3015, 3026, ... (10 total)","2992, 3015, 3026, ... (10 total)",58.7,58.7,550,550,70918,550,2.8,2.8,25,25,True,True,True,True,True,2.58,2.69,,200.0,0,"[{""km"": 2.58, ""type"": ""true_pass""}, {""km"": 2.69, ""type"": ""true_pass""}, {""km"": 2.8, ""type"": ""true_pass""}, {""km"": 2.91, ""type"": ""true_pass""}, {""km"": 3.02, ""type"": ""true_pass""}, {""km"": 3.13, ""type"": ""true_pass""}, {""km"": 3.24, ""type"": ""true_pass""}, {""km"": 3.35, ""type"": ""true_pass""}, {""km"": 3.46, ""type"": ""true_pass""}, {""km"": 3.57, ""type"": ""true_pass""}, {""km"": 3.68, ""type"": ""true_pass""}, {""km"": 3.79, ""type"": ""true_pass""}, {""km"": 3.9, ""type"": ""true_pass""}, {""km"": 4.01, ""type"": ""true_pass""}, {""km"": 4.12, ""type"": ""true_pass""}, {""km"": 4.23, ""type"": ""true_pass""}, {""km"": 4.34, ""type"": ""true_pass""}, {""km"": 4.45, ""type"": ""true_pass""}, {""km"": 4.56, ""type"": ""true_pass""}, {""km"": 4.67, ""type"": ""true_pass""}, {""km"": 4.78, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,2.58,4.81,0.0,2.58,100.0,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,2.58,2.69,SPATIAL_ONLY_NO_TEMPORAL,200.0,0,"[{""km"": 2.58, ""type"": ""true_pass""}, {""km"": 2.68, ""type"": ""true_pass""}, {""km"": 2.78, ""type"": ""true_pass""}, {""km"": 2.88, ""type"": ""true_pass""}, {""km"": 2.99, ""type"": ""true_pass""}, {""km"": 3.09, ""type"": ""true_pass""}, {""km"": 3.19, ""type"": ""true_pass""}, {""km"": 3.29, ""type"": ""true_pass""}, {""km"": 3.39, ""type"": ""true_pass""}, {""km"": 3.49, ""type"": ""true_pass""}, {""km"": 3.59, ""type"": ""true_pass""}, {""km"": 3.7, ""type"": ""true_pass""}, {""km"": 3.81, ""type"": ""true_pass""}, {""km"": 3.91, ""type"": ""true_pass""}, {""km"": 4.01, ""type"": ""true_pass""}, {""km"": 4.11, ""type"": ""true_pass""}, {""km"": 4.21, ""type"": ""true_pass""}, {""km"": 4.31, ""type"": ""true_pass""}, {""km"": 4.42, ""type"": ""true_pass""}, {""km"": 4.52, ""type"": ""true_pass""}, {""km"": 4.62, ""type"": ""true_pass""}, {""km"": 4.72, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
O3a,5K Open Finish (Queen/York to Finish),open,open,550,550,overtake,4.81,5.0,4.81,5.0,100.0,25,25,"3003, 3128, 3138, ... (10 total)","3003, 3128, 3138, ... (10 total)",4.5,4.5,550,550,8163,550,0.1,0.1,3,3,True,True,True,True,True,4.81,4.86,,100.0,0,"[{""km"": 4.81, ""type"": ""true_pass""}, {""km"": 4.92, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
O3b,5K Open Finish ovetake Lap 2,open,open,550,550,overtake,4.81,5.0,2.58,4.81,100.0,125,0,"2939, 2974, 2978, ... (10 total)",,22.7,0.0,183,276,24673,469,39.0,0.0,222,0,True,True,True,True,True,4.81,4.86,,100.0,0,"[{""km"": 4.81, ""type"": ""true_pass""}, {""km"": 4.91, ""type"": ""true_pass""}]",2026-01-07 19:22:43 UTC,v2.0.3,local,"runners.csv, segments.csv","elite:480, open:510",5.0,100.0
