"seg_id","event_a","event_b","zone_index","cp_km","cp_type","zone_source","zone_start_km_a","zone_end_km_a","zone_start_km_b","zone_end_km_b","overtaking_a","overtaking_b","overtaken_a","overtaken_b","copresence_a","copresence_b","unique_encounters","participants_involved","multi_category_runners"
F1a,"10k",half,0,5.8,true_pass,true_pass,5.8,5.92,2.7,2.82,159,652,359,188,496,912,81423,1421,1345
F1a,"10k",half,1,6.01,true_pass,true_pass,5.89,6.12,2.79,3.02,159,652,362,188,539,912,167437,1456,1356
F1a,"10k",half,2,6.22,true_pass,true_pass,6.1,6.33,3.0,3.23,159,652,362,188,546,912,161834,1463,1356
F1a,"10k",half,3,6.43,true_pass,true_pass,6.31,6.54,3.21,3.45,158,652,362,188,547,912,156602,1464,1355
F1a,"10k",half,4,6.64,true_pass,true_pass,6.52,6.75,3.42,3.65,158,652,362,188,551,912,151316,1468,1355
F1a,"10k",half,5,6.85,true_pass,true_pass,6.73,6.96,3.64,3.87,158,652,358,188,551,912,146754,1468,1351
F1a,"10k",half,6,7.06,true_pass,true_pass,6.95,7.18,3.85,4.08,154,635,336,188,553,912,142341,1469,1309
F1a,"10k",half,7,7.27,true_pass,true_pass,7.16,7.39,4.06,4.29,141,593,306,185,555,912,138188,1467,1225
F1a,"10k",half,8,7.48,true_pass,true_pass,7.37,7.6,4.27,4.5,127,555,275,181,554,912,134132,1466,1138
F1a,"10k",half,9,7.69,true_pass,true_pass,7.58,7.81,4.48,4.71,122,500,250,179,553,912,130199,1465,1051
F1a,"10k",half,10,7.9,true_pass,true_pass,7.79,8.02,4.69,4.92,117,453,228,170,549,912,126763,1461,968
