seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,0,1.33,true_pass,true_pass,1.28,1.38,1.28,1.38,5.0,0,5,0.0,0.5,0,0,5,6,True
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,1,1.43,true_pass,true_pass,1.38,1.48,1.38,1.48,5.0,0,14,0.0,1.5,0,0,14,15,True
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,2,1.53,true_pass,true_pass,1.48,1.58,1.48,1.58,5.0,0,26,0.0,2.9,0,0,26,27,True
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,3,1.63,true_pass,true_pass,1.58,1.68,1.58,1.68,5.0,0,31,0.0,3.4,1,2,33,34,True
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,4,1.73,true_pass,true_pass,1.68,1.78,1.68,1.78,5.0,0,27,0.0,3.0,1,15,42,43,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,0,1.8,true_pass,true_pass,1.8,1.85,1.8,1.85,5.0,0,10,0.0,1.1,1,6,16,17,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,1,1.9,true_pass,true_pass,1.85,1.95,1.85,1.95,5.0,0,37,0.0,4.1,1,12,49,50,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,2,2.01,true_pass,true_pass,1.96,2.06,1.96,2.06,5.0,0,49,0.0,5.4,0,0,49,50,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,3,2.12,true_pass,true_pass,2.07,2.17,2.07,2.17,5.0,0,56,0.0,6.1,0,0,56,57,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,4,2.23,true_pass,true_pass,2.18,2.28,2.18,2.28,5.0,0,62,0.0,6.8,0,0,62,64,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,5,2.34,true_pass,true_pass,2.29,2.39,2.29,2.39,5.0,0,73,0.0,8.0,0,0,99,79,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,6,2.45,true_pass,true_pass,2.4,2.5,2.4,2.5,5.0,0,100,0.0,11.0,1,10,254,119,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,7,2.56,true_pass,true_pass,2.51,2.61,2.51,2.61,5.0,0,129,0.0,14.1,1,25,440,167,True
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,8,2.67,true_pass,true_pass,2.62,2.7,2.62,2.7,5.0,0,118,0.0,12.9,16,93,508,173,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,0,3.54,true_pass,true_pass,3.46,3.62,3.46,3.62,1.5,16,0,2.6,0.0,3,2,98,30,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,1,3.73,true_pass,true_pass,3.65,3.81,3.65,3.81,1.5,16,0,2.6,0.0,3,2,98,30,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,2,3.84,true_pass,true_pass,3.76,3.92,3.76,3.92,1.5,16,0,2.6,0.0,3,2,98,30,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,3,3.95,true_pass,true_pass,3.87,4.03,3.87,4.03,1.5,16,0,2.6,0.0,3,2,98,30,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,4,4.06,true_pass,true_pass,3.98,4.14,3.98,4.14,1.5,16,0,2.6,0.0,3,2,98,30,True
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,5,4.17,true_pass,true_pass,4.09,4.25,4.09,4.25,1.5,16,0,2.6,0.0,3,2,98,30,True
