loc_id,loc_label,loc_type,loc_direction,lat,lon,zone,buffer,interval,first_runner,peak_start,peak_end,last_runner,loc_start,loc_end,duration,timing_source,awp_count,caf_count,fdsa_count,fpf_count,ofc_count,sja_count,vol_count,yssr_count,awp_mins,caf_mins,fdsa_mins,fpf_mins,ofc_mins,sja_mins,vol_mins,yssr_mins,notes,flag,flagged_seg_id,flag_severity,flag_worst_los,flag_note
1,Regent Street and McLeod Street,traffic,Barricade closing McLeod @ Regent,45.95435,-66.644418,7,10,5,,,,,06:15:00,10:10:00,235.0,proxy:2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235,Barricade closing McLeod @ Regent. No thru traffic -- local only when no runners. Apartment residents on McLeod and Church attendees (Atkins Pewter bldg.) can access parking lot before St John street when no runners.,False,,,,
2,St. John Street and McLeod,course,Barricade closing McLeod and St John Streets,45.953331,-66.642451,7,10,5,08:21:42,08:41:10,09:07:03,09:58:40,06:15:00,10:10:00,235.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235,Barricade closing McLeod and St John Streets. No traffic until last marathon runner has complete the Queen Sq. loop. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John.,False,,,,
3,Parking Lot 776 McLeod (Apt),course,Monitor Parking Lot traffic when runners on course,45.952483,-66.641158,7,10,5,08:22:16,08:41:52,09:07:55,09:59:53,06:15:00,10:10:00,235.0,modeled,0,0,0,0,0,0,1,1,0,0,0,0,0,0,235,235,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. ,False,,,,
4,Parking Lot 845 McLeod (Apt),course,Monitor Parking Lot traffic when runners on course,45.951594,-66.640767,7,10,5,08:22:48,08:42:32,09:08:44,10:01:03,06:15:00,10:15:00,240.0,modeled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,240,0,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. ,False,,,,
5,Church Street and McLeod Street,course,Both directions,45.952202,-66.640368,7,10,5,08:22:32,08:42:12,09:08:19,10:00:27,06:15:00,10:15:00,240.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,240,Both directions. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. ,False,,,,
6,Beaverbrook Street and McLeod Street,course,Southbound Traffic,45.951258,-66.641751,7,10,5,08:23:01,08:42:48,09:09:05,10:01:31,06:15:00,10:15:00,240.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,240,Southbound Traffic: no thru traffic from Beaverbrook unless local resident. First runner time is for info. only -- closure in place 45-mins before start time. ,False,,,,
7,Scully at Saint John Street,course,Northbound,45.953962,-66.642003,7,10,5,08:21:24,08:40:48,09:06:34,09:58:00,06:15:00,10:10:00,235.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235,"St. John Street closed, no traffic allowed from Scully. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John.",False,,,,
8,Aberdeen at St John Street,course,Northbound,45.954607,-66.641402,7,10,5,07:00:00,07:20:18,07:41:32,09:57:16,06:15:00,10:10:00,235.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235,"St. John Street closed, no traffic allowed from Aberdeen. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen towards Queen Sq. on Aberdeen.",True,A1,critical,D,"37 bins flagged, severity: critical"
9,Aberdeen Street and Queen Sq. (Finish/Marathon Loop),course,West from walking trail.,45.95412,-66.640426,7,10,5,07:01:47,07:22:57,07:44:33,09:56:48,06:15:00,10:10:00,235.0,modeled,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,940,Relocated resources from downtown closures once re-opened. Support with crowd control at finish line to ensure that runners in the Marathon have space to make the loop.  Any runner later than 10:45 a.m. will not be permitted to continue.,True,A1,critical,D,"37 bins flagged, severity: critical"
10,Churchill Row and St. John Street,course,Northbound,45.955478,-66.640544,1,10,5,07:00:27,07:20:49,07:41:38,07:43:26,06:15:00,07:55:00,100.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,200,"St. John Street closed, no traffic allowed. When finished, relocate to Aberdeen and Saint John St. for crowd control for first marathon runner making loop.",True,A1,critical,D,"37 bins flagged, severity: critical"
11,Charlotte Street and St. John Street,course,Northbound,45.956421,-66.639702,1,10,5,07:00:57,07:21:28,07:42:21,07:44:54,06:15:00,07:55:00,100.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,200,"St. John Street closed, no traffic allowed. When finished, relocate to Charlotte at Trail Crossing. ",True,A1,critical,D,"37 bins flagged, severity: critical"
12,Charlotte Street at trail crossing,course,Runners crossing both ways,45.95488,-66.636112,1,10,5,07:52:14,08:30:07,09:49:52,12:58:41,06:15:00,13:10:00,415.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,830,Relocated resources from Charlotte @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. heading north. All runners heading south.,True,H1,watch,A,"191 bins flagged, severity: watch"
13,George Street and St. John Street,course,Barricade closing St. John,45.957321,-66.63893,1,10,5,07:01:26,07:22:11,07:43:03,07:46:32,06:15:00,08:00:00,105.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,210,"St. John Street closed, no traffic allowed. When finished, relocate to George and Trail",True,A1,critical,D,"37 bins flagged, severity: critical"
14,George Street at trail crossing,course,Runners Crossing Street both ways,45.955786,-66.635219,1,10,5,07:51:49,08:29:32,09:49:27,12:57:38,06:15:00,13:10:00,415.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,830,Relocated from George @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. loop going north. All runners from Walking Bridge to Queen Sq finish.,True,H1,watch,A,"191 bins flagged, severity: watch"
15,Aberdeen Street and Church Street,course,Barricade closing Aberdeen Street,45.953665,-66.63901,1,10,5,07:53:29,08:35:47,10:00:30,13:00:07,06:15:00,13:15:00,420.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,420,Church at Aberdeen is closed with no traffic as this intersection is at the finish line. Closed until last runner clears.,True,M1,watch,A,"4 bins flagged, severity: watch"
16,Brunswick Street and St. John Street,course,Barricade closing St. John,45.958304,-66.638093,1,10,5,07:01:56,07:22:52,07:43:48,07:48:08,06:15:00,08:00:00,105.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,210,"St. John Street closed, no traffic allowed until last half runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
17,Brunswick Street and Regent Street,traffic,Barricade closing Brunswick,45.959199,-66.640228,1,10,5,,,,,06:15:00,08:00:00,105.0,proxy:16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105,"Brunswick Street closed, no traffic allowed until last runner half marathon runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
18,King Street and St. John Street,traffic,Barricade closing St. John,45.959267,-66.637395,1,10,5,,,,,06:15:00,08:05:00,110.0,proxy:24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,220,"St. John Street closed, no traffic allowed until last runner half marathon runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
19,King Street at Regent (SJ St. Tim Drive Thru),traffic,Barricade closing King Street,45.959853,-66.638769,1,10,5,,,,,06:15:00,08:05:00,110.0,proxy:24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110,"King Street Closed, no traffic allowed until last runner half marathon runner clears St John and King intersection. Tim's drive-thru will need to exit to Regent St.",True,A1,critical,D,"37 bins flagged, severity: critical"
20,King Street and Church Street,traffic,Barricade closing King Street,45.958298,-66.635035,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,"King Street Closed, no traffic allowed until last runner half marathon runner clears.",True,A3,watch,A,"66 bins flagged, severity: watch"
21,University/Waterloo heading to Queen,traffic,Barricade closing Queen Street,45.956257,-66.6332,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,"Queen St Closed, no traffic allowed. Wait until runner reach Regent & Ste Ann Pte.",True,A3,watch,A,"66 bins flagged, severity: watch"
22,Queen Street and Church Street,traffic,Barricade closing Queen Street,45.958632,-66.634728,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,"Queen Street Closed, no traffic allowed. Individuals at these locations on Queen move to walking bridge",True,A3,watch,A,"66 bins flagged, severity: watch"
23,Walking Bridge on South Side,course,Runners crossing both ways,45.956436,-66.632974,1,10,5,07:51:09,08:29:01,09:48:26,12:56:02,06:15:00,13:10:00,415.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,830,0,"Direct runners onto the walking bridge and not off trail; returning runners to head straight to Queen Sq. Note: Walking bridge will be open, inform groups coming onto bridge of event in progress.",True,H1,watch,A,"191 bins flagged, severity: watch"
24,Queen Street and St. John Street,course,Barricade closing Queen Street,45.960146,-66.636466,1,10,5,07:02:53,07:24:10,07:45:09,07:51:06,06:15:00,08:05:00,110.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,220,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
25,Crowne Plaza Parking Lot Entrance,course,Barricade closing Queen Street,45.960715,-66.637496,1,10,5,07:03:17,07:24:45,07:45:44,07:52:22,06:15:00,08:05:00,110.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
26,Hilton Garden Inn Parking Entrance,course,Barricade closing Queen Street,45.96069,-66.637867,1,10,5,07:03:23,07:24:52,07:45:52,07:52:40,06:15:00,08:05:00,110.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears.",True,A1,critical,D,"37 bins flagged, severity: critical"
27,Victoria Traffic Circle,traffic,Northbound Traffic via Ste Anne Pte & WSB Ramp),45.964288,-66.651358,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,1,0,0,1,0,0,0,0,130,0,0,130,0,0,0,0,Close access to St. Anne's Point from the roundabout.  Access closed until all runners off the bridge and CoF Traffic give all clear with traffic cones and signage. ,True,A3,watch,A,"66 bins flagged, severity: watch"
28,Queen at Smythe Street,traffic,Northbound Traffic via Ste Anne Pte & WSB Ramp) **NEW 2/13**,45.965374,-66.650057,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,260,0,Close access to St. Anne's Point from Queen St.  Redirect runners around the turn loop to Queen and southbound on Northumberland St. Access closed until all runners off the bridge and CoF Traffic gives all clear with traffic cones and signage. ,True,A3,watch,A,"66 bins flagged, severity: watch"
