seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,0,0.0,true_pass,true_pass,0.0,0.05,0.0,0.05,5.0,19,19,48.7,48.7,39,39,1521,39,True
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,1,0.11,true_pass,true_pass,0.06,0.16,0.06,0.16,5.0,19,19,48.7,48.7,39,39,1521,39,True
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,2,0.21,true_pass,true_pass,0.16,0.26,0.16,0.26,5.0,19,19,48.7,48.7,39,39,1493,39,True
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,3,0.31,true_pass,true_pass,0.26,0.36,0.26,0.36,5.0,19,19,48.7,48.7,39,39,1313,39,True
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,4,0.41,true_pass,true_pass,0.36,0.46,0.36,0.46,5.0,19,19,48.7,48.7,39,39,1099,39,True
N1,Start to Queen/Westmorland,elite,elite,39,39,overtake,5,0.51,true_pass,true_pass,0.46,0.56,0.46,0.56,5.0,19,19,48.7,48.7,39,39,961,39,True
N2,Queen/Westmorland to PSAB/WSB,elite,elite,39,39,overtake,0,0.57,true_pass,true_pass,0.57,0.62,0.57,0.62,5.0,4,4,10.3,10.3,39,39,335,39,True
N2,Queen/Westmorland to PSAB/WSB,elite,elite,39,39,overtake,1,0.67,true_pass,true_pass,0.62,0.72,0.62,0.72,5.0,4,4,10.3,10.3,39,39,759,39,True
N2,Queen/Westmorland to PSAB/WSB,elite,elite,39,39,overtake,2,0.77,true_pass,true_pass,0.72,0.82,0.72,0.82,5.0,4,4,10.3,10.3,39,39,693,39,True
N2,Queen/Westmorland to PSAB/WSB,elite,elite,39,39,overtake,3,0.87,true_pass,true_pass,0.82,0.92,0.82,0.92,5.0,4,4,10.3,10.3,39,39,631,39,True
