seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,0,0.0,true_pass,true_pass,0.0,0.13,0.0,0.13,5.0,20,20,51.3,51.3,39,39,1521,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,1,0.21,true_pass,true_pass,0.08,0.34,0.08,0.34,5.0,20,20,51.3,51.3,39,39,1521,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,2,0.41,true_pass,true_pass,0.28,0.54,0.28,0.54,5.0,20,20,51.3,51.3,39,39,1521,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,3,0.61,true_pass,true_pass,0.48,0.74,0.48,0.74,5.0,20,20,51.3,51.3,39,39,1515,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,4,0.81,true_pass,true_pass,0.68,0.94,0.68,0.94,5.0,20,20,51.3,51.3,39,39,1433,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,5,1.01,true_pass,true_pass,0.88,1.14,0.88,1.14,5.0,20,20,51.3,51.3,39,39,1325,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,6,1.21,true_pass,true_pass,1.08,1.34,1.08,1.34,5.0,20,20,51.3,51.3,39,39,1183,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,7,1.41,true_pass,true_pass,1.28,1.54,1.28,1.54,5.0,20,20,51.3,51.3,39,39,1049,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,8,1.61,true_pass,true_pass,1.48,1.74,1.48,1.74,5.0,20,20,51.3,51.3,39,39,973,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,9,1.81,true_pass,true_pass,1.68,1.94,1.68,1.94,5.0,20,20,51.3,51.3,39,39,893,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,10,2.02,true_pass,true_pass,1.89,2.15,1.89,2.15,5.0,20,20,51.3,51.3,39,39,801,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,11,2.24,true_pass,true_pass,2.11,2.37,2.11,2.37,5.0,20,20,51.3,51.3,39,39,725,39,True
N1,5K Elite Lap 1 (Start to Queen/York),elite,elite,39,39,overtake,12,2.46,true_pass,true_pass,2.33,2.58,2.33,2.58,5.0,20,20,51.3,51.3,39,39,667,39,True
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,0,2.58,true_pass,true_pass,2.58,2.69,2.58,2.69,100.0,0,0,0.0,0.0,39,39,295,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,1,2.8,true_pass,true_pass,2.69,2.91,2.69,2.91,100.0,0,0,0.0,0.0,39,39,531,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,2,3.02,true_pass,true_pass,2.91,3.13,2.91,3.13,100.0,0,0,0.0,0.0,39,39,511,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,3,3.24,true_pass,true_pass,3.13,3.35,3.13,3.35,100.0,0,0,0.0,0.0,39,39,491,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,4,3.46,true_pass,true_pass,3.35,3.57,3.35,3.57,100.0,0,0,0.0,0.0,39,39,441,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,5,3.68,true_pass,true_pass,3.57,3.79,3.57,3.79,100.0,0,0,0.0,0.0,39,39,421,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,6,3.9,true_pass,true_pass,3.79,4.01,3.79,4.01,100.0,0,0,0.0,0.0,39,39,395,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,7,4.12,true_pass,true_pass,4.01,4.23,4.01,4.23,100.0,0,0,0.0,0.0,39,39,381,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,8,4.34,true_pass,true_pass,4.23,4.45,4.23,4.45,100.0,0,0,0.0,0.0,39,39,363,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,9,4.56,true_pass,true_pass,4.45,4.67,4.45,4.67,100.0,0,0,0.0,0.0,39,39,347,39,False
N2a,5K Elite Lap 2 (Queen/York to Queen/York),elite,elite,39,39,overtake,10,4.78,true_pass,true_pass,4.67,4.81,4.67,4.81,100.0,0,0,0.0,0.0,39,39,237,39,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,0,2.58,true_pass,true_pass,2.58,2.69,0.0,0.13,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,1,2.78,true_pass,true_pass,2.67,2.89,0.11,0.36,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,2,2.99,true_pass,true_pass,2.87,3.1,0.34,0.6,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,3,3.19,true_pass,true_pass,3.08,3.3,0.58,0.83,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,4,3.39,true_pass,true_pass,3.28,3.5,0.81,1.07,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,5,3.59,true_pass,true_pass,3.48,3.71,1.05,1.3,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,6,3.81,true_pass,true_pass,3.69,3.92,1.29,1.55,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,7,4.01,true_pass,true_pass,3.9,4.12,1.52,1.78,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,8,4.21,true_pass,true_pass,4.1,4.32,1.76,2.02,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,9,4.42,true_pass,true_pass,4.3,4.53,1.99,2.25,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,10,4.62,true_pass,true_pass,4.51,4.73,2.23,2.49,100.0,0,0,0.0,0.0,0,0,0,0,False
N3a,5K Elite Finish (Queen/York to Finish),elite,elite,39,39,overtake,0,4.81,true_pass,true_pass,4.81,4.86,4.81,4.86,100.0,0,0,0.0,0.0,39,39,81,39,False
N3a,5K Elite Finish (Queen/York to Finish),elite,elite,39,39,overtake,1,4.92,true_pass,true_pass,4.87,4.97,4.87,4.97,100.0,0,0,0.0,0.0,39,39,163,39,False
N3b,5K Elite Finish ovetake Lap 2,elite,elite,39,39,overtake,0,4.81,true_pass,true_pass,4.81,4.86,2.58,3.17,100.0,0,0,0.0,0.0,0,0,0,0,False
N3b,5K Elite Finish ovetake Lap 2,elite,elite,39,39,overtake,1,4.91,true_pass,true_pass,4.86,4.96,3.17,4.34,100.0,0,0,0.0,0.0,0,0,349,0,False
