seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,worst_zone_index,convergence_points_json,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1a,Start to Queen/Regent (10K/Half),10k,half,618,912,overtake,0.0,0.9,0.0,0.9,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A1b,Start to Queen/Regent (10K/Full),10k,full,618,368,overtake,0.0,0.9,0.0,0.9,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A1c,Start to Queen/Regent (Half/Full),half,full,912,368,overtake,0.0,0.9,0.0,0.9,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,618,912,overtake,0.9,1.8,0.9,1.8,100.0,0,31,,"1621, 1622, 1623, ... (10 total)",0.0,3.4,1,2,33,34,0.0,0.0,0,1,True,True,True,True,True,1.58,1.68,,100.0,3,"[{""km"": 1.33, ""type"": ""true_pass""}, {""km"": 1.43, ""type"": ""true_pass""}, {""km"": 1.53, ""type"": ""true_pass""}, {""km"": 1.63, ""type"": ""true_pass""}, {""km"": 1.73, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A2b,Queen/Regent to WSB mid-point (10K/Full),10k,full,618,368,overtake,0.9,1.8,0.9,1.8,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A2c,Queen/Regent to WSB mid-point (Half/Full),half,full,912,368,overtake,0.9,1.8,0.9,1.8,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A3a,WSB mid-point to Friel (10K/Half),10k,half,618,912,overtake,1.8,2.7,1.8,2.7,100.0,0,129,,"1618, 1619, 1620, ... (10 total)",0.0,14.1,1,25,440,167,0.0,0.7,0,12,True,True,True,True,True,2.51,2.61,,100.0,7,"[{""km"": 1.8, ""type"": ""true_pass""}, {""km"": 1.9, ""type"": ""true_pass""}, {""km"": 2.01, ""type"": ""true_pass""}, {""km"": 2.12, ""type"": ""true_pass""}, {""km"": 2.23, ""type"": ""true_pass""}, {""km"": 2.34, ""type"": ""true_pass""}, {""km"": 2.45, ""type"": ""true_pass""}, {""km"": 2.56, ""type"": ""true_pass""}, {""km"": 2.67, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A3b,WSB mid-point to Friel (10K/Full),10k,full,618,368,overtake,1.8,2.7,1.8,2.7,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
A3c,WSB mid-point to Friel (Half/Full),half,full,912,368,overtake,1.8,2.7,1.8,2.7,100.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,,,2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
B1,Friel to 10K Turn (Out),10k,full,618,368,overtake,2.7,4.25,2.7,4.25,1.5,16,0,"1000, 1002, 1003, ... (10 total)",,2.6,0.0,3,2,98,30,0.1,0.0,13,0,True,True,True,True,True,3.46,3.62,,150.0,0,"[{""km"": 3.54, ""type"": ""true_pass""}, {""km"": 3.73, ""type"": ""true_pass""}, {""km"": 3.84, ""type"": ""true_pass""}, {""km"": 3.95, ""type"": ""true_pass""}, {""km"": 4.06, ""type"": ""true_pass""}, {""km"": 4.17, ""type"": ""true_pass""}]",2026-01-07 00:33:50 UTC,v2.0.3,local,"runners.csv, segments.csv","10k:440, full:420, half:460",5.0,100.0
