loc_id,loc_label,loc_type,zone,lat,lon,first_runner,peak_start,peak_end,last_runner,loc_start,loc_end,duration,timing_source,notes
1,Regent Street and McLeod Street,traffic,7,45.95435,-66.644418,,,,,06:15:00,10:10:00,235,proxy:2,Barricade closing McLeod @ Regent. No thru traffic -- local only when no runners. Apartment residents on McLeod and Church attendees (Atkins Pewter bldg.) can access parking lot before St John street when no runners.
2,St. John Street and McLeod,course,7,45.953331,-66.642451,08:21:42,08:41:10,09:07:03,09:58:40,06:15:00,10:10:00,235,modeled,Barricade closing McLeod and St John Streets. No traffic until last marathon runner has complete the Queen Sq. loop. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John.
3,Parking Lot 776 McLeod (Apt),course,7,45.952483,-66.641158,08:22:16,08:41:52,09:07:55,09:59:53,06:15:00,10:10:00,235,modeled,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
4,Parking Lot 845 McLeod (Apt),course,7,45.951594,-66.640767,08:22:48,08:42:32,09:08:44,10:01:03,06:15:00,10:15:00,240,modeled,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
5,Church Street and McLeod Street,course,7,45.952202,-66.640368,08:22:32,08:42:12,09:08:19,10:00:27,06:15:00,10:15:00,240,modeled,Both directions. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
6,Beaverbrook Street and McLeod Street,course,7,45.951258,-66.641751,08:23:01,08:42:48,09:09:05,10:01:31,06:15:00,10:15:00,240,modeled,Southbound Traffic: no thru traffic from Beaverbrook unless local resident. First runner time is for info. only -- closure in place 45-mins before start time. 
7,Scully at Saint John Street,course,7,45.953962,-66.642003,08:21:24,08:40:48,09:06:34,09:58:00,06:15:00,10:10:00,235,modeled,"St. John Street closed, no traffic allowed from Scully. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John."
8,Aberdeen at St John Street,course,7,45.954607,-66.641402,07:00:00,07:20:18,07:41:32,09:57:16,06:15:00,10:10:00,235,modeled,"St. John Street closed, no traffic allowed from Aberdeen. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen towards Queen Sq. on Aberdeen."
9,Aberdeen Street and Queen Sq. (Finish/Marathon Loop),course,7,45.95412,-66.640426,07:01:47,07:22:57,07:44:33,09:56:48,06:15:00,10:10:00,235,modeled,Relocated resources from downtown closures once re-opened. Support with crowd control at finish line to ensure that runners in the Marathon have space to make the loop.  Any runner later than 10:45 a.m. will not be permitted to continue.
10,Churchill Row and St. John Street,course,1,45.955478,-66.640544,07:00:27,07:20:49,07:41:38,07:43:26,06:15:00,07:55:00,100,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to Aberdeen and Saint John St. for crowd control for first marathon runner making loop."
11,Charlotte Street and St. John Street,course,1,45.956421,-66.639702,07:00:57,07:21:28,07:42:21,07:44:54,06:15:00,07:55:00,100,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to Charlotte at Trail Crossing. "
12,Charlotte Street at trail crossing,course,1,45.95488,-66.636112,07:52:14,08:30:07,09:49:52,12:58:41,06:15:00,13:10:00,415,modeled,Relocated resources from Charlotte @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. heading north. All runners heading south.
13,George Street and St. John Street,course,1,45.957321,-66.63893,07:01:26,07:22:11,07:43:03,07:46:32,06:15:00,08:00:00,105,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to George and Trail"
14,George Street at trail crossing,course,1,45.955786,-66.635219,07:51:49,08:29:32,09:49:27,12:57:38,06:15:00,13:10:00,415,modeled,Relocated from George @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. loop going north. All runners from Walking Bridge to Queen Sq finish.
15,Aberdeen Street and Church Street,course,1,45.953665,-66.63901,07:53:29,08:35:47,10:00:30,13:00:07,06:15:00,13:15:00,420,modeled,Church at Aberdeen is closed with no traffic as this intersection is at the finish line. Closed until last runner clears.
