event,runner_id,pace,distance,start_offset
elite,wBM1yy2,2.9,5,0
elite,KdiU2KN,2.9,5,0
elite,0UQZhaI,2.92,5,0
elite,QGLYrQR,2.95,5,0
elite,dSiKKaQ,2.97,5,1
elite,7PE9pmI,2.98,5,0
elite,fKYa643,2.98,5,0
elite,wkJMRu9,3.03,5,0
elite,AaoarMi,3.08,5,0
elite,k3HiYrK,3.13,5,0
elite,n6lOazs,3.13,5,1
elite,ZNvlNxh,3.15,5,1
elite,eovqS6d,3.22,5,1
elite,Wiwzw2m,3.22,5,2
elite,qTLqXfW,3.3,5,1
elite,YP8YeGJ,3.3,5,1
elite,RiP5RWB,3.37,5,0
elite,HaSpTIM,3.5,5,2
elite,Bm3vlAe,3.5,5,0
elite,O96RK7k,3.5,5,0
elite,8rHKXVS,3.5,5,0
elite,Ijaj85N,3.52,5,2
elite,81tPkQ1,3.55,5,1
elite,NO8VuLt,3.55,5,0
elite,3g4hb2j,3.57,5,0
elite,9HFqDHc,3.58,5,0
elite,RYKs30w,3.6,5,2
elite,WMGBbUq,3.62,5,2
elite,TouQvR6,3.6639882333814,5,0
elite,R1FuOJl,3.68,5,2
elite,B40gUyk,3.68,5,0
elite,DDoWLfj,3.72,5,2
elite,1g4Rk1X,3.77,5,2
elite,3D3M8W8,3.78,5,1
elite,Ugcktlf,3.9,5,2
elite,bZ5bbTn,3.95,5,2
elite,Gj4S8fd,3.98,5,3
elite,UEo1Gzx,4.0,5,2
elite,rNDmEq1,4.02,5,0
elite,Obz2BMT,4.25,5,2
