event,runner_id,pace,distance,start_offset
full,COFVYLF,3.933333333,42.2,1
full,XxwAHeJ,3.966666667,42.2,0
full,JCQE1Hg,3.983333333,42.2,3
full,tBejzop,4.0,42.2,2
full,AUQtLPA,4.016666667,42.2,0
full,RIfNaF6,4.016666667,42.2,5
full,a8q5S5a,4.016666667,42.2,23
full,UsTv2cJ,4.033333333,42.2,5
full,k8pyfqL,4.05,42.2,3
full,aLhKPRY,4.05,42.2,0
full,QYegFpE,4.066666667,42.2,3
full,HXXD1zi,4.066666667,42.2,0
full,FMFvZa0,4.066666667,42.2,4
full,DMiGhwp,4.083333333,42.2,0
full,KWnEpMS,4.083333333,42.2,1
full,rDkktoR,4.116666667,42.2,0
full,OccZSds,4.133333333,42.2,0
full,2ez2YZ1,4.133333333,42.2,4
full,PgQ5Jid,4.15,42.2,9
full,VsyM6Wk,4.15,42.2,5
full,Yvd0O7h,4.2,42.2,4
full,HgCoQpG,4.2,42.2,0
full,e9Ejt3O,4.216666667,42.2,7
full,Ug1cQB0,4.233333333,42.2,4
full,h9wWbfx,4.242307026274206,42.2,51
full,7yyHRT6,4.25,42.2,4
full,UHV1ApU,4.25,42.2,2
full,lVjvfkR,4.25,42.2,4
full,rtkoFRY,4.266666667,42.2,10
full,tvRiMfI,4.283333333,42.2,5
full,5m0aKz0,4.283333333,42.2,10
full,O1RbVUg,4.283333333,42.2,0
full,MgdiziJ,4.3,42.2,3
full,mqTXVTa,4.316666667,42.2,4
full,a3FpEuK,4.333333333,42.2,4
full,R41SlMq,4.333333333,42.2,22
full,dA3BtY7,4.383333333,42.2,10
full,lLtUrDp,4.416666667,42.2,4
full,e20xEaM,4.416666667,42.2,12
full,dQoyypY,4.416666667,42.2,17
full,DzNvwRK,4.438992114695164,42.2,6
full,1GUVsmo,4.45,42.2,19
full,IASVEBf,4.466666667,42.2,5
full,hghWfer,4.483333333,42.2,4
full,0vrHqPb,4.483333333,42.2,9
full,NmgXzzm,4.483333333,42.2,17
full,r98VmB9,4.5,42.2,12
full,fiaBnLv,4.516666667,42.2,12
full,9PDrUe5,4.516666667,42.2,7
full,n1Gz7Dr,4.516666667,42.2,3
full,LAM5wEl,4.533333333,42.2,2
full,Vj4X8Mc,4.55,42.2,6
full,pL2QsHS,4.583333333,42.2,8
full,VXZZzH7,4.616666667,42.2,9
full,sK7nbv6,4.616666667,42.2,38
full,gJ690Cn,4.65,42.2,2
full,wVOXfpS,4.665384177524216,42.2,47
full,3UcclAy,4.666666667,42.2,13
full,jkWKT5T,4.666666667,42.2,7
full,13pZiuI,4.683333333,42.2,15
full,ne2uGmQ,4.683333333,42.2,16
full,IWQgYp1,4.683333333,42.2,18
full,BcO5rEW,4.683333333,42.2,10
full,s4pjQzu,4.683333333,42.2,16
full,gVGQkLI,4.683333333,42.2,6
full,HBkMiwt,4.683333333,42.2,7
full,Ti6kTjr,4.7,42.2,0
full,JlX3Cqx,4.7,42.2,35
full,ShtYIrI,4.716666667,42.2,7
full,1HXZMNa,4.733333333,42.2,6
full,rxjGb5N,4.733333333,42.2,9
full,MnpmbXI,4.733333333,42.2,20
full,azaiS5A,4.75,42.2,45
full,MLuqIya,4.75,42.2,10
full,ZsEs8ph,4.75,42.2,8
full,OABVkPZ,4.766666667,42.2,1
full,iklJK0N,4.766666667,42.2,20
full,ednm2FQ,4.766666667,42.2,9
full,TBVM685,4.783333333,42.2,6
full,cPOCFrq,4.783333333,42.2,6
full,oyZaoYp,4.783333333,42.2,9
full,vyai2zz,4.8,42.2,24
full,ZrdVhN3,4.8,42.2,7
full,tti4OhE,4.8,42.2,6
full,a88oIHF,4.8,42.2,29
full,I4IQpzt,4.8,42.2,5
full,AD3BNCc,4.816666667,42.2,13
full,D21q3Ss,4.816666667,42.2,10
full,UvkWV5B,4.816666667,42.2,22
full,AwmQTNb,4.833333333,42.2,5
full,nKwZUoF,4.833333333,42.2,9
full,PepntX2,4.833333333,42.2,22
full,kRA9WeR,4.85,42.2,28
full,jV2fYrN,4.85,42.2,16
full,j2Nkz74,4.85,42.2,9
full,uKEjsnE,4.856949095963855,42.2,36
full,G3L8kf2,4.866666667,42.2,9
full,FogbggR,4.866666667,42.2,6
full,shU0bX1,4.866666667,42.2,6
full,2CaQrqO,4.866666667,42.2,3
full,aJgFeAJ,4.883333333,42.2,28
full,z7kycLZ,4.883333333,42.2,16
full,IwP4XcM,4.883333333,42.2,22
full,7y0A0js,4.883333333,42.2,9
full,D3XVsEp,4.883333333,42.2,5
full,Idkgquv,4.924771232362466,42.2,39
full,t7fFRU9,4.933333333,42.2,14
full,Vikm4Tq,4.933333333,42.2,11
full,Wnf29Vu,4.933333333,42.2,6
full,RQKbs4k,4.933333333,42.2,25
full,lyELuYn,4.95,42.2,15
full,jMmQ4JU,4.95,42.2,19
full,KPBeCt3,4.95,42.2,15
full,xImSAsg,4.966666667,42.2,6
full,CTwCUMR,4.966666667,42.2,8
full,FFDdThO,4.966666667,42.2,19
full,2vMiu5K,4.966666667,42.2,25
full,7oFIQA8,4.983333333,42.2,20
full,UOLM8uf,4.983333333,42.2,14
full,0xhrQMe,4.983333333,42.2,11
full,IJ0Daqe,4.983333333,42.2,10
full,nBjICeX,4.983333333,42.2,13
full,siBaW8g,4.991094408547185,42.2,47
full,GeF8K0Q,5.0,42.2,12
full,e8RIBjD,5.0,42.2,16
full,4OfmzhF,5.0,42.2,4
full,yX4Qi5f,5.016666667,42.2,9
full,A2s11cB,5.016666667,42.2,13
full,Cx6xGUf,5.016666667,42.2,3
full,5b1bhDO,5.033333333,42.2,10
full,dkQIcBf,5.05,42.2,11
full,iVwFE7x,5.05,42.2,0
full,69IWRNk,5.05,42.2,8
full,Qmx4FWq,5.05,42.2,7
full,Jclz3w2,5.066666667,42.2,16
full,nntGRMu,5.0666787302657745,42.2,82
full,x2Rsbb4,5.083333333,42.2,20
full,Xfb5dqw,5.083333333,42.2,16
full,a6hYKTd,5.116666667,42.2,14
full,36ewbA0,5.116666667,42.2,23
full,bgR7tip,5.116666667,42.2,51
full,zxW2UjO,5.15,42.2,11
full,aJhbnzA,5.15,42.2,10
full,0IoZFpb,5.166666667,42.2,11
full,wHlRiUx,5.166666667,42.2,28
full,T8Aa8JU,5.166666667,42.2,11
full,xMFIKks,5.166666667,42.2,24
full,q6TGNTT,5.166666667,42.2,11
full,KdPaA9J,5.183333333,42.2,28
full,m5sb781,5.183333333,42.2,17
full,cSJaNq8,5.183333333,42.2,13
full,QkH6bwr,5.183333333,42.2,16
full,GyuSVhT,5.183333333,42.2,11
full,mseNVNt,5.2,42.2,16
full,NYK48bC,5.2,42.2,17
full,6oBS30Y,5.2,42.2,14
full,uKT7GZW,5.2,42.2,36
full,6tNKBTh,5.2,42.2,6
full,6eji3JB,5.216666667,42.2,22
full,LPfzwcv,5.216666667,42.2,18
full,JPdRKVp,5.233333333,42.2,16
full,UCo6XT3,5.25,42.2,14
full,RRhUUMT,5.25,42.2,18
full,kXI9AfY,5.266666667,42.2,13
full,5j1XzPe,5.266666667,42.2,16
full,HLy7yGj,5.266666667,42.2,16
full,bIRrM2R,5.283333333,42.2,19
full,o1AoRlY,5.283333333,42.2,13
full,cAtOG23,5.283333333,42.2,16
full,eZyiij9,5.283333333,42.2,78
full,UzkYSqC,5.3,42.2,17
full,IDMRVpJ,5.316666667,42.2,100
full,wRzxXvt,5.316666667,42.2,13
full,w0XNZnZ,5.333333333,42.2,15
full,QnvYP7S,5.333333333,42.2,21
full,hK9qria,5.333333333,42.2,23
full,ttGKu8J,5.333333333,42.2,75
full,U72PCIv,5.333333333,42.2,36
full,0oe5FMp,5.35,42.2,15
full,gFiGCDb,5.35,42.2,32
full,pPHOIdw,5.366666667,42.2,19
full,ZXvy8Yi,5.366666667,42.2,34
full,X5SkEXC,5.383333333,42.2,9
full,jlDi5Ub,5.383333333,42.2,21
full,ssnBWfO,5.4,42.2,13
full,pQdj0zT,5.4,42.2,13
full,Vu4aMCx,5.4,42.2,35
full,V0UQ7NK,5.416666667,42.2,28
full,WZI3U1D,5.416666667,42.2,22
full,CaZvfiF,5.416666667,42.2,38
full,HB8IJcZ,5.416666667,42.2,52
full,NlRAGRN,5.433333333,42.2,21
full,fMoiKmL,5.433333333,42.2,21
full,XWbMX8s,5.433333333,42.2,23
full,oy3Ifhe,5.433333333,42.2,31
full,7EcpQJ1,5.433333333,42.2,84
full,EJoHfC9,5.45,42.2,28
full,QQfyd3s,5.466666667,42.2,25
full,uboF1co,5.466666667,42.2,18
full,7AGMRFe,5.483333333,42.2,49
full,2I7s97J,5.483333333,42.2,39
full,4k3zWq2,5.5,42.2,74
full,AdU00Zc,5.5,42.2,18
full,EZcXPBg,5.5,42.2,24
full,5tLALHr,5.5061236700151674,42.2,5
full,BKcdvcU,5.509108732941183,42.2,37
full,4OzR3mC,5.516666667,42.2,43
full,tKAXChn,5.516666667,42.2,11
full,g0VvC3x,5.55,42.2,48
full,sfyEYd2,5.55,42.2,48
full,8VsBqsT,5.55,42.2,73
full,RDFOW9L,5.566666667,42.2,31
full,2B98lxY,5.566666667,42.2,42
full,Lkk5DQU,5.566666667,42.2,28
full,3SYXYEi,5.566666667,42.2,37
full,C46Son1,5.567955181522249,42.2,13
full,yhkUvmN,5.583333333,42.2,50
full,AY2V1HF,5.583333333,42.2,36
full,ZK9tQl5,5.583333333,42.2,37
full,HPpv40a,5.583333333,42.2,16
full,Ax79Fhz,5.583333333,42.2,23
full,9oWMk5D,5.583333333,42.2,60
full,JA6bj85,5.6,42.2,47
full,9c7mo7X,5.6,42.2,40
full,WDe4VUv,5.6,42.2,26
full,lctz9Ui,5.6,42.2,42
full,uZBKJpQ,5.6,42.2,33
full,9WVMIWe,5.616666667,42.2,36
full,AdWmqO3,5.616666667,42.2,74
full,aPuzXqP,5.616666667,42.2,45
full,JxERLii,5.616666667,42.2,12
full,UnAsfym,5.633333333,42.2,89
full,zIW87jv,5.633333333,42.2,40
full,Ih8sDKT,5.633333333,42.2,19
full,Tz2aamP,5.65,42.2,24
full,GCIcrQT,5.65,42.2,34
full,ksRSwjJ,5.666666667,42.2,30
full,7iUCI7g,5.666666667,42.2,28
full,q2MFHul,5.666666667,42.2,27
full,VLhsKJE,5.683333333,42.2,31
full,vipy3gb,5.683333333,42.2,47
full,PQRz7Ly,5.683333333,42.2,43
full,TYyCewi,5.683333333,42.2,43
full,LBPTWLN,5.683333333,42.2,20
full,GzO91YE,5.7,42.2,48
full,3gQ28Uh,5.716666667,42.2,109
full,nF8CAtY,5.716790412635527,42.2,10
full,VDKWtzD,5.75,42.2,72
full,wUf4Nfk,5.766666667,42.2,39
full,QM3BGFm,5.783333333,42.2,47
full,dTkRFOJ,5.8,42.2,19
full,yhaxODy,5.816666667,42.2,47
full,egNoYWx,5.816666667,42.2,69
full,L2i57v9,5.816666667,42.2,47
full,8nqv1Z4,5.816666667,42.2,51
full,Z0bltyY,5.816666667,42.2,54
full,xOprQHf,5.816666667,42.2,33
full,wEZbRfq,5.833333333,42.2,37
full,eOPBvu9,5.85,42.2,31
full,GKtgjmM,5.883333333,42.2,38
full,mPiINoy,5.9,42.2,64
full,is3qzFU,5.9,42.2,35
full,EJ6K5gO,5.9,42.2,58
full,gqerQgC,5.933333333,42.2,37
full,cLTec9k,5.933333333,42.2,71
full,0qgi0eY,5.937194624818179,42.2,28
full,UhKVzpC,5.966666667,42.2,14
full,Yayqxux,5.966666667,42.2,36
full,zeZKXs9,5.966666667,42.2,24
full,0dzQcoa,5.983333333,42.2,35
full,Q9b2VIa,5.983333333,42.2,49
full,Cam9NF0,5.983333333,42.2,56
full,hszUU9u,5.983333333,42.2,36
full,cFvuMl0,5.983333333,42.2,36
full,5JP6dJm,6.0,42.2,33
full,T77LZWC,6.0,42.2,36
full,8xPuOWi,6.0,42.2,63
full,aUTQZd1,6.0,42.2,49
full,fyr7w6k,6.0042192611552005,42.2,24
full,B1xDhzs,6.016666667,42.2,117
full,FrXQw0w,6.016666667,42.2,22
full,4XLPwyv,6.021300030996078,42.2,34
full,mL1GB0Q,6.033333333,42.2,49
full,gfyyb9z,6.033333333,42.2,41
full,pjUzHOO,6.033333333,42.2,39
full,Lbk4ysm,6.033333333,42.2,48
full,1ZA7Hvw,6.05,42.2,37
full,1TQVuZd,6.05,42.2,73
full,sxgiZ7K,6.066666667,42.2,53
full,iD0sOTd,6.066666667,42.2,21
full,vfPp2JI,6.066666667,42.2,63
full,tj57MvY,6.083333333,42.2,66
full,nQJaocl,6.083333333,42.2,102
full,4hy3E95,6.1,42.2,84
full,hCQZ7YO,6.1,42.2,102
full,C4lpQDQ,6.116666667,42.2,35
full,rRGeysL,6.132619350192479,42.2,13
full,VfkbqEQ,6.133333333,42.2,60
full,1HhMTFP,6.166666667,42.2,41
full,fNSk1gJ,6.178232480371083,42.2,5
full,MuiXgcE,6.183333333,42.2,44
full,cs2uTeM,6.183333333,42.2,17
full,I1Grd5S,6.188919904318683,42.2,47
full,QaWB9Fq,6.233333333,42.2,90
full,6e6HX4D,6.25,42.2,18
full,ZmDqCe9,6.266666667,42.2,99
full,QjONcor,6.316666667,42.2,48
full,MqbM1Pf,6.333333333,42.2,37
full,uJpIXyh,6.35,42.2,50
full,lHvrFT1,6.366666667,42.2,38
full,pPEfoCr,6.366666667,42.2,100
full,pwIqIX5,6.366666667,42.2,68
full,gjT6hr1,6.383333333,42.2,101
full,Mt2k9g6,6.383333333,42.2,95
full,YVsTWOC,6.383333333,42.2,61
full,PuLeeyA,6.4,42.2,86
full,RTKPccn,6.4,42.2,87
full,8jNmkHX,6.4,42.2,77
full,iugDNw9,6.416666667,42.2,50
full,SlO2chD,6.433333333,42.2,81
full,qAu0FFz,6.45,42.2,113
full,sVzi8MA,6.483333333,42.2,87
full,W07ZrNP,6.483333333,42.2,104
full,xRy19n9,6.5,42.2,81
full,9HwDZvu,6.5,42.2,49
full,752rPia,6.533333333,42.2,75
full,OqZ0Vm6,6.533333333,42.2,123
full,CYv27as,6.566666667,42.2,0
full,Wtvu3ia,6.6,42.2,62
full,8yi5WLs,6.616666667,42.2,92
full,fZsT6zN,6.616666667,42.2,79
full,zzszu1v,6.616666667,42.2,72
full,Go3BIH0,6.633333333,42.2,68
full,QxS9hDV,6.633333333,42.2,48
full,YtByfg3,6.65,42.2,81
full,HqJ7iNX,6.666666667,42.2,47
full,Ma75xpj,6.683333333,42.2,79
full,4osFWB1,6.683333333,42.2,52
full,nytB6nO,6.683333333,42.2,80
full,BYLEL0N,6.683333333,42.2,82
full,bYftwtp,6.683333333,42.2,38
full,iWSO4MC,6.692811356850616,42.2,40
full,9DFDqGR,6.7,42.2,28
full,18jU5dg,6.75,42.2,70
full,EZCGD8n,6.766666667,42.2,49
full,7Cyv7ZV,6.866666667,42.2,104
full,m4PBUXU,6.883333333,42.2,41
full,PaRGDF4,6.916666667,42.2,94
full,nmpUK2c,6.95,42.2,97
full,2SMHtrt,7.0,42.2,96
full,ahav1rz,7.016666667,42.2,102
full,zhiPZ7F,7.033333333,42.2,124
full,3a3I1AR,7.133333333,42.2,50
full,H7aXTmv,7.166666667,42.2,85
full,9Uz6pwd,7.183333333,42.2,64
full,8Vfdcx7,7.216666667,42.2,95
full,p4DXJHM,7.266666667,42.2,52
full,tmgZeix,7.266666667,42.2,47
full,WImbjR0,7.333333333,42.2,113
full,rmCXVyG,7.4,42.2,116
full,YbhplAN,7.416666667,42.2,89
full,8sER1zx,7.466666667,42.2,89
full,HlKu5TB,7.466666667,42.2,116
full,daYaqUM,7.583333333,42.2,40
full,QJFIEWe,7.583333333,42.2,48
full,pOv9USu,7.6,42.2,101
full,5ekB2uA,7.6,42.2,113
full,T4uPucF,7.65,42.2,90
full,fGDDL5z,7.666666667,42.2,75
full,WNpibDX,7.666666667,42.2,99
full,TS0yk2F,7.683333333,42.2,98
full,7tKSvQ1,7.716666667,42.2,83
full,D0ora5a,7.716666667,42.2,122
full,rh18kqS,7.75,42.2,89
full,Q4JSQfe,7.866666667,42.2,103
full,G86eGT8,7.883333333,42.2,55
full,iX2efAo,7.883333333,42.2,41
full,mrSBt3S,7.883333333,42.2,85
full,XPfX293,7.883333333,42.2,84
full,t6UjjTk,7.9,42.2,87
full,aTBOnzb,7.983333333,42.2,117
full,orvnHWN,8.0,42.2,76
full,XRtqUIO,8.2,42.2,86
full,yfq80TL,8.2,42.2,98
full,sMOcArw,8.316666667,42.2,50
full,m5xBUqo,8.516666667,42.2,107
