event,runner_id,pace,distance,start_offset
half,TNcT3rU,3.583333333,21.1,0
half,yC5UffC,3.624869037592947,21.1,4
half,OqmPjaO,3.6885175023225236,21.1,74
half,xGWmEjB,3.7,21.1,3
half,6S24oNV,3.7480536650248997,21.1,14
half,SdOVLmL,3.7588367202582993,21.1,111
half,sWnm1Kj,3.8,21.1,0
half,LtWauya,3.816666667,21.1,3
half,egFEYBD,3.816666667,21.1,1
half,24lBH8J,3.85,21.1,22
half,WvgEBOT,3.883333333,21.1,2
half,mmGsw6N,3.89263918495856,21.1,121
half,R8g9i8m,3.9,21.1,5
half,kMtJvwO,3.9,21.1,8
half,CjlmEnJ,3.933333333,21.1,0
half,acPpOxr,3.966666667,21.1,0
half,pK1Ho9I,3.983333333,21.1,2
half,x4tOZz2,4.016666667,21.1,2
half,3Y9Oivs,4.033333333,21.1,6
half,fKH9ot2,4.033333333,21.1,0
half,rsOeqmZ,4.033333333,21.1,8
half,6vb7733,4.05,21.1,0
half,i5XZeNu,4.066666667,21.1,9
half,pBumMJ6,4.066666667,21.1,5
half,5FeQdqO,4.083333333,21.1,4
half,ehr3VJP,4.1,21.1,2
half,A9VQKhG,4.1,21.1,6
half,Da5eZzG,4.107804964957098,21.1,105
half,rmnJ1Bm,4.116666667,21.1,3
half,ZJAOXA3,4.116666667,21.1,5
half,QAgu13D,4.133333333,21.1,4
half,rn9CLK8,4.133333333,21.1,17
half,cKY9eMg,4.15,21.1,6
half,7NmFOA0,4.15,21.1,21
half,Nwn91xa,4.166666667,21.1,2
half,TBHo8II,4.166666667,21.1,4
half,ouhaxju,4.166666667,21.1,3
half,mDUyxkD,4.166666667,21.1,5
half,Eb5ELWn,4.166666667,21.1,8
half,NwsPajC,4.166666667,21.1,28
half,zKgQMSR,4.183333333,21.1,9
half,VpVpWIy,4.183333333,21.1,9
half,6iB5MD1,4.183333333,21.1,3
half,wQWt3RI,4.216666667,21.1,12
half,azMLBX7,4.266666667,21.1,18
half,UqRhJVy,4.266666667,21.1,6
half,A416ILT,4.266666667,21.1,12
half,4yWb7Je,4.3,21.1,7
half,OTvWpSc,4.3,21.1,4
half,hROEIFj,4.316666667,21.1,5
half,e46aj2j,4.316666667,21.1,9
half,WHdghFK,4.316666667,21.1,3
half,qzlQKjG,4.366666667,21.1,9
half,aMaReiF,4.366666667,21.1,5
half,9VTgi1n,4.383333333,21.1,5
half,ep0YpAW,4.383333333,21.1,13
half,BKMEFiz,4.398753421678601,21.1,26
half,2p0xDiY,4.4,21.1,16
half,Cx8vjvk,4.4,21.1,31
half,FAONcI7,4.4,21.1,4
half,HppdtQe,4.4,21.1,12
half,WZ1ce6I,4.4,21.1,16
half,r74qqCs,4.416666667,21.1,16
half,NXwtRya,4.416666667,21.1,6
half,XevJQPV,4.416666667,21.1,16
half,C2Kd3gZ,4.416666667,21.1,4
half,wfzE42d,4.418375441621341,21.1,25
half,CRGtTSc,4.433333333,21.1,5
half,xDfzsK3,4.433333333,21.1,6
half,Fcih3a0,4.433333333,21.1,5
half,SEt0ET2,4.440383866222029,21.1,65
half,fTxV2DV,4.45,21.1,16
half,zZhCiyl,4.45,21.1,19
half,t5c1Xg6,4.452507147802247,21.1,61
half,uNd92fK,4.463308982028253,21.1,53
half,jS733LW,4.466666667,21.1,31
half,AbRaL9N,4.466666667,21.1,11
half,isrXpSP,4.466666667,21.1,4
half,x2vb6Wo,4.466666667,21.1,6
half,uFoz03K,4.466666667,21.1,7
half,Xcg21j6,4.483333333,21.1,11
half,PFfaOS9,4.5,21.1,11
half,x0Haue4,4.5,21.1,8
half,me2GvF0,4.5,21.1,23
half,WSaIhZ5,4.516666667,21.1,5
half,wsIDMM9,4.516666667,21.1,20
half,0h7Jcgv,4.516666667,21.1,14
half,BKuJ1ST,4.541011555326958,21.1,55
half,RrNo9te,4.55,21.1,11
half,vQ2d35O,4.55,21.1,19
half,paFGg3M,4.566666667,21.1,12
half,IxtWAmE,4.566666667,21.1,15
half,Z6plyxT,4.566666667,21.1,21
half,TDaoUHT,4.566666667,21.1,9
half,Ojn9N6T,4.572650144101546,21.1,25
half,o6FgOlI,4.583333333,21.1,14
half,hWWsdku,4.583333333,21.1,23
half,92KDUC7,4.597625356542982,21.1,37
half,xG3YHe7,4.6,21.1,23
half,zrxwu7z,4.6,21.1,24
half,Zn0YbV5,4.606828718641605,21.1,55
half,pRR5qE7,4.610000078547466,21.1,100
half,b2F1vwh,4.616666667,21.1,30
half,OL2bMtw,4.616666667,21.1,25
half,ubsD2Ey,4.633333333,21.1,7
half,w0bXAT8,4.633333333,21.1,124
half,DwYT0zS,4.633333333,21.1,73
half,8OpXdye,4.65,21.1,6
half,aTlMTd0,4.664604404075903,21.1,105
