seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1a,Start to Queen/Regent (10K/Half),10K,Half,618,912,overtake,0,0.9,0,0.9,100,0,0,,,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.06,SPATIAL_ONLY_NO_TEMPORAL,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A1b,Queen/Regent to WSB mid-point (10K/Half),10K,Half,618,912,overtake,0.9,1.8,0.9,1.8,100,1,34,1529,"1618, 1623, 1630, ... (10 total)",0.2,3.7,1,34,126,35,0,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.42,0.53,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A1c,WSB mid-point to Friel (10K/Half),10K,Half,618,912,overtake,1.8,2.7,1.8,2.7,100,13,128,"1529, 1606, 1607, ... (10 total)","1630, 1637, 1649, ... (10 total)",2.1,14,13,128,1664,141,0,0.7,0,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.06,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A2a,Start to Queen/Regent (10K/Full),10K,Full,618,368,overtake,0,0.9,0,0.9,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A2b,Queen/Regent to WSB mid-point (10K/Full),10K,Full,618,368,overtake,0.9,1.8,0.9,1.8,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A2c,WSB mid-point to Friel (10K/Full),10K,Full,618,368,overtake,1.8,2.7,1.8,2.7,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A3a,Start to Queen/Regent (Half/Full),Half,Full,912,368,overtake,0,0.9,0,0.9,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A3b,Queen/Regent to WSB mid-point (Half/Full),Half,Full,912,368,overtake,0.9,1.8,0.9,1.8,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
A3c,WSB mid-point to Friel (Half/Full),Half,Full,912,368,overtake,1.8,2.7,1.8,2.7,100,0,0,,,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,100,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
B1,Friel to 10K Turn (outbound),10K,Full,618,368,overtake,2.7,4.25,2.7,4.25,1.5,16,11,"1001, 1002, 1004, ... (10 total)","2884, 2888, 2889, ... (10 total)",2.6,3,16,11,98,27,0.1,0,13,0,TRUE,TRUE,TRUE,TRUE,TRUE,0.49,0.59,,150,2025-12-12 00:36:49 UTC,v1.8.5,local,"runners.csv, segments.csv","Full:420.0, 10K:440.0, Half:460.0",5,100
