event,runner_id,pace,distance,start_offset
10k,zRUTrlx,3.366666667,10,0
10k,v27aAM0,3.366666667,10,0
10k,yz9UPWC,3.420384394916701,10,15
10k,6K2kRAE,3.633333333,10,0
10k,xvMJMzd,3.6407786959788475,10,33
10k,eyZnv39,3.766666667,10,3
10k,dISTgIf,3.8,10,0
10k,sIRYCJv,3.8393259775563893,10,48
10k,O2RIkH8,3.85,10,3
10k,9uc9qH5,3.9,10,0
10k,vPSUzQQ,3.933333333,10,0
10k,529KFSb,3.946323757277834,10,43
10k,pxWrUYV,3.95,10,0
10k,PlllcJI,3.966666667,10,0
10k,IMltzsI,3.983333333,10,0
10k,TrRH3Op,4.033333333,10,3
10k,FaGMZxj,4.066666667,10,0
10k,340ucRs,4.1,10,0
10k,WXx76OQ,4.116666667,10,0
10k,wp6w4Ew,4.133333333,10,2
10k,ZIYnBcB,4.224233921417579,10,49
10k,o1UCv5o,4.266666667,10,2
10k,fVxdozY,4.316666667,10,2
10k,iWx7zlr,4.333619433739408,10,24
10k,l5rpSNn,4.366666667,10,0
10k,CYFl9iV,4.416666667,10,2
10k,X5YWlJ8,4.45,10,2
10k,dYtTZLT,4.45,10,2
10k,JxS3Yyo,4.5,10,2
10k,PjO3YXD,4.516666667,10,27
10k,g8MXTUI,4.533333333,10,9
10k,4WeCTKv,4.533333333,10,13
10k,QOsNYVy,4.55,10,3
10k,HImWSpT,4.55,10,12
10k,eckAGuY,4.55,10,4
10k,aOAGc2L,4.566666667,10,2
10k,IJZuPWq,4.566666667,10,3
10k,Ty9PuAi,4.583333333,10,0
10k,rwtlyRO,4.616666667,10,3
10k,U4Wi1Tc,4.616666667,10,45
10k,uoTjImW,4.634477257633995,10,46
10k,OPZviAz,4.641360912239025,10,22
10k,MvJm2ZV,4.642822402113033,10,36
10k,iaRTm0f,4.6438401414151,10,12
10k,54oAJBW,4.6452570761490986,10,40
10k,QPucoLr,4.65,10,8
10k,Our1aDZ,4.65,10,5
10k,n4CAd3x,4.666666667,10,0
10k,tLBeCH9,4.667055484040742,10,27
10k,yG1n1a6,4.683333333,10,7
10k,oAgWvit,4.7,10,0
10k,6EWEV0C,4.712731037364694,10,22
10k,nZcnTq4,4.716666667,10,3
10k,epxsYIB,4.716666667,10,6
10k,YkZjSRK,4.773064902035924,10,59
10k,t9QsKux,4.77644282234391,10,51
10k,uZkvgI6,4.8,10,7
10k,vv4ZRlE,4.8,10,5
10k,JY1saW1,4.833333333,10,18
10k,defLhgp,4.833333333,10,3
10k,Hyvygeg,4.845775726876592,10,6
10k,bfhYnON,4.85,10,11
10k,54a1dPk,4.85,10,51
10k,cdF91EQ,4.856073075964438,10,45
10k,n9w51FV,4.866666667,10,7
10k,zqyXTvZ,4.882810620894144,10,13
10k,kXZ29mm,4.883333333,10,13
10k,Hx1Ftvn,4.883333333,10,8
10k,oHET3Dj,4.9,10,5
10k,kdAvBLz,4.9,10,5
10k,unKDeMz,4.9,10,5
10k,mgQ61IM,4.904768327920426,10,35
10k,5qGxNQu,4.916666667,10,12
10k,G9Y16N3,4.916666667,10,14
10k,LYbdLxy,4.916666667,10,14
10k,wpBn2bs,4.916666667,10,5
10k,KQg7AZr,4.933333333,10,9
10k,L6lanlP,4.935902542020035,10,19
