event,runner_id,pace,distance,bib,gunTime,chipTime,Unnamed: 7,start_offset
10K,1000,3.366666667,10,3493,33:31:00,33:31:00,,0
10K,1001,3.366666667,10,3499,33:40:00,33:40:00,,0
10K,1002,3.633333333,10,3080,36:16:00,36:16:00,,0
10K,1003,3.766666667,10,3589,37:41:00,37:38:00,,3
10K,1004,3.8,10,3581,37:52:00,37:52:00,,0
10K,1005,3.85,10,3588,38:31:00,38:28:00,,3
10K,1006,3.9,10,3563,38:51:00,38:51:00,,0
10K,1007,3.933333333,10,3612,39:11:00,39:11:00,,0
10K,1008,3.95,10,3113,39:28:00,39:28:00,,0
10K,1009,3.966666667,10,3289,39:32:00,39:32:00,,0
10K,1010,3.983333333,10,3148,39:46:00,39:46:00,,0
10K,1011,4.033333333,10,3490,40:15:00,40:12:00,,3
10K,1012,4.066666667,10,3582,40:40:00,40:40:00,,0
10K,1013,4.1,10,3606,40:53:00,40:53:00,,0
10K,1014,4.116666667,10,3167,41:03:00,41:03:00,,0
10K,1015,4.133333333,10,3186,41:14:00,41:12:00,,2
10K,1016,4.266666667,10,3315,42:41:00,42:39:00,,2
10K,1017,4.316666667,10,3453,43:06:00,43:04:00,,2
10K,1018,4.366666667,10,3525,43:35:00,43:35:00,,0
10K,1019,4.416666667,10,3593,44:12:00,44:10:00,,2
10K,1020,4.45,10,3153,44:23:00,44:21:00,,2
10K,1021,4.45,10,3466,44:26:00,44:24:00,,2
10K,1022,4.5,10,3271,45:01:00,44:59:00,,2
10K,1023,4.55,10,3193,45:26:00,45:23:00,,3
10K,1024,4.533333333,10,3274,45:26:00,45:17:00,,9
10K,1025,4.55,10,3267,45:28:00,45:24:00,,4
10K,1026,4.533333333,10,3120,45:30:00,45:17:00,,13
10K,1027,4.516666667,10,3013,45:34:00,45:07:00,,27
10K,1028,4.566666667,10,3401,45:35:00,45:33:00,,2
10K,1029,4.566666667,10,3027,45:36:00,45:33:00,,3
10K,1030,4.55,10,3041,45:38:00,45:26:00,,12
10K,1031,4.583333333,10,3505,45:48:00,45:48:00,,0
10K,1032,4.616666667,10,3352,46:09:00,46:06:00,,3
10K,1033,4.65,10,3419,46:32:00,46:24:00,,8
10K,1034,4.65,10,3526,46:35:00,46:30:00,,5
10K,1035,4.666666667,10,3266,46:35:00,46:35:00,,0
10K,1036,4.683333333,10,3491,46:50:00,46:43:00,,7
10K,1037,4.616666667,10,3226,46:54:00,46:09:00,,45
10K,1038,4.7,10,3084,46:58:00,46:58:00,,0
10K,1039,4.716666667,10,3016,47:08:00,47:05:00,,3
10K,1040,4.716666667,10,3019,47:15:00,47:09:00,,6
10K,1041,4.8,10,6240,47:58:00,47:53:00,,5
10K,1042,4.8,10,3552,47:58:00,47:51:00,,7
10K,1043,4.833333333,10,3462,48:22:00,48:19:00,,3
10K,1044,4.833333333,10,3211,48:31:00,48:13:00,,18
10K,1045,4.85,10,3570,48:36:00,48:25:00,,11
10K,1046,4.866666667,10,3234,48:41:00,48:34:00,,7
10K,1047,4.883333333,10,3281,48:56:00,48:48:00,,8
10K,1048,4.883333333,10,3147,48:59:00,48:46:00,,13
10K,1049,4.9,10,3418,49:03:00,48:58:00,,5
10K,1050,4.9,10,3104,49:04:00,48:59:00,,5
10K,1051,4.9,10,3296,49:05:00,49:00:00,,5
10K,1052,4.916666667,10,3025,49:08:00,49:03:00,,5
10K,1053,4.85,10,3310,49:13:00,48:22:00,,51
10K,1054,4.916666667,10,3221,49:16:00,49:02:00,,14
10K,1055,4.916666667,10,3195,49:17:00,49:03:00,,14
10K,1056,4.916666667,10,3565,49:20:00,49:08:00,,12
10K,1057,4.933333333,10,3595,49:25:00,49:16:00,,9
10K,1058,4.95,10,3090,49:27:00,49:23:00,,4
10K,1059,4.95,10,3253,49:32:00,49:26:00,,6
10K,1060,4.95,10,6207,49:32:00,49:31:00,,1
10K,1061,4.95,10,3015,49:34:00,49:28:00,,6
10K,1062,4.966666667,10,3257,49:39:00,49:39:00,,0
10K,1063,4.966666667,10,3477,49:47:00,49:39:00,,8
10K,1064,4.983333333,10,3471,49:53:00,49:50:00,,3
10K,1065,4.983333333,10,3205,49:54:00,49:41:00,,13
10K,1066,5,10,3196,49:55:00,49:51:00,,4
10K,1067,5.016666667,10,3187,50:10:00,50:07:00,,3
10K,1068,4.966666667,10,3188,50:12:00,49:32:00,,40
10K,1069,5.033333333,10,3114,50:30:00,50:13:00,,17
10K,1070,5.05,10,3546,50:30:00,50:28:00,,2
10K,1071,5.066666667,10,3011,50:48:00,50:41:00,,7
10K,1072,5.016666667,10,3204,50:48:00,50:10:00,,38
10K,1073,5.05,10,3574,50:49:00,50:23:00,,26
10K,1074,5.066666667,10,3168,50:53:00,50:33:00,,20
10K,1075,5.1,10,3161,50:59:00,50:51:00,,8
10K,1076,5.083333333,10,3242,51:03:00,50:48:00,,15
10K,1077,5.1,10,3412,51:16:00,50:55:00,,21
10K,1078,5.116666667,10,3252,51:16:00,51:02:00,,14
10K,1079,5.133333333,10,3269,51:22:00,51:15:00,,7
10K,1080,5.133333333,10,3403,51:22:00,51:18:00,,4
