seg_id,seg_label,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,flow_type,direction,notes
1,Start to Friel,full,full,0,2.72,0,2.72,overtake,uni,
2,Friel to 10K Turn,full,full,2.72,4.31,2.72,4.31,overtake,uni,
3,Full Turn (Blake),full,full,4.31,9.83,4.31,9.83,overtake,uni,
4,Full Return to 10K Turn,full,full,9.83,15.36,9.83,15.36,overtake,uni,
5,10K Turn to Friel,full,full,15.36,16.96,15.36,16.96,overtake,uni,
6,Northside Trail to Station Rd,full,full,16.96,19.19,16.96,19.19,overtake,uni,
7,Station Rd to Half Fork,full,full,19.19,19.27,19.19,19.27,overtake,uni,
8,Full Fork,full,full,19.27,19.31,19.27,19.31,overtake,uni,
9,Trail Aberdeen,full,full,19.31,20.88,19.31,20.88,overtake,uni,
10,Finish Line Pin,full,full,20.88,21.13,20.88,21.13,overtake,uni,
11,QS Loop End,full,full,21.13,22.24,21.13,22.24,overtake,uni,
12,QS Loop to Station Rd.,full,full,22.24,25.17,22.24,25.17,overtake,uni,
13,Gibson Trail (Start),full,full,25.17,25.19,25.17,25.19,overtake,uni,
14,Gibson Trail to McGloin,full,full,25.19,30.47,25.19,30.47,overtake,uni,
15,McGloin to Bridge at Mill,full,full,30.47,30.95,30.47,30.95,overtake,uni,
16,Bridge/Mill to Half Turn,full,full,30.95,33.5,30.95,33.5,overtake,uni,
17,Half to Full Turn (Tree Farm),full,full,33.5,34.3,33.5,34.3,overtake,uni,
18,Tree Farm to Half Turn (Back),full,full,34.3,35.11,34.3,35.11,overtake,uni,
19,Half Turn back to Bridge at Mill,full,full,35.11,38.98,35.11,38.98,overtake,uni,
20,Full and Half return from Bridge/Mill to Station,full,full,38.98,42.32,38.98,42.32,overtake,uni,
21,Full and Half Finish,full,full,42.32,44.26,42.32,44.26,overtake,uni,
