seg_id,seg_label,pin_start_label,pin_end_label,width_m,schema,direction,full,half,10k,elite,open,full_from_km,full_to_km,half_from_km,half_to_km,10k_from_km,10k_to_km,elite_from_km,elite_to_km,open_from_km,open_to_km,full_length,half_length,10k_length,elite_length,open_length,description
1,Start to Friel,Start,Friel,3,on_course_open,uni,y,y,y,n,n,0.0,2.72,0.0,2.72,0.0,2.72,0.0,0.0,0.0,0.0,2.72,2.72,2.72,0,0,
2,Friel to 10K Turn,Friel,10K Turn,3,on_course_open,uni,y,n,y,n,n,2.72,4.31,0.0,0.0,2.72,4.31,0.0,0.0,0.0,0.0,1.5899999999999994,0,1.5899999999999994,0,0,
3,Full Turn (Blake),10K Turn,Full Turn (Blake),3,on_course_open,uni,y,n,n,n,n,4.31,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5200000000000005,0,0,0,0,
4,Full Return to 10K Turn,Full Turn (Blake),Full Return to 10K Turn,3,on_course_open,uni,y,n,n,n,n,9.83,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.529999999999999,0,0,0,0,
5,10K Turn to Friel,Full Return to 10K Turn,Friel,3,on_course_open,uni,y,n,y,n,n,15.36,16.96,0.0,0.0,4.31,5.910000000000001,0.0,0.0,0.0,0.0,1.6000000000000014,0,1.6000000000000014,0,0,
6,Northside Trail to Station Rd,Friel,Station,3,on_course_open,uni,y,y,y,n,n,16.96,19.19,2.72,4.950000000000001,5.910000000000001,8.14,0.0,0.0,0.0,0.0,2.2300000000000004,2.2300000000000004,2.2300000000000004,0,0,
7,Station Rd to Half Fork,Station,Half Fork,3,on_course_open,uni,y,y,y,n,n,19.19,19.27,4.950000000000001,5.029999999999999,8.14,8.219999999999999,0.0,0.0,0.0,0.0,0.0799999999999983,0.0799999999999983,0.0799999999999983,0,0,
8,Full Fork,Half Fork,Full Fork,3,on_course_open,uni,y,y,n,n,n,19.27,19.31,5.029999999999999,5.0699999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999915,0.03999999999999915,0,0,0,
9,Trail Aberdeen,Full Fork,Trail Aberdeen,3,on_course_open,uni,y,n,y,n,n,19.31,20.88,0.0,0.0,8.219999999999999,9.79,0.0,0.0,0.0,0.0,1.5700000000000003,0,1.5700000000000003,0,0,
10,Finish Line Pin,Trail Aberdeen,Finish Line Pin,3,on_course_open,uni,y,n,y,n,n,20.88,21.13,0.0,0.0,9.79,10.04,0.0,0.0,0.0,0.0,0.25,0,0.25,0,0,
11,QS Loop End,Finish Line Pin,QS Loop End,3,on_course_open,uni,y,n,n,n,n,21.13,22.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1099999999999994,0,0,0,0,
12,QS Loop to Station Rd.,QS Loop End,Full Fork,3,on_course_open,uni,y,n,n,n,n,22.24,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9300000000000033,0,0,0,0,
13,Gibson Trail (Start),Full Fork,Gibson Trail (Start),3,on_course_open,uni,y,y,n,n,n,25.17,25.19,5.0699999999999985,5.089999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.019999999999999574,0,0,0,
14,Gibson Trail to McGloin,Gibson Trail (Start),Trail at McGloin,3,on_course_open,uni,y,y,n,n,n,25.19,30.47,5.089999999999998,10.369999999999996,0.0,0.0,0.0,0.0,0.0,0.0,5.279999999999998,5.279999999999998,0,0,0,
15,McGloin to Bridge at Mill,Trail at McGloin,Bridge at Mill,3,on_course_open,uni,y,y,n,n,n,30.47,30.95,10.369999999999996,10.849999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.4800000000000004,0.4800000000000004,0,0,0,
16,Bridge/Mill to Half Turn,Bridge at Mill,Half Turn,3,on_course_open,uni,y,y,n,n,n,30.95,33.5,10.849999999999996,13.399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.5500000000000007,2.5500000000000007,0,0,0,
17,Half to Full Turn (Tree Farm),Half Turn,Full Turn,3,on_course_open,uni,y,n,n,n,n,33.5,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999972,0,0,0,0,
18,Tree Farm to Half Turn (Back),Full Turn,Half Turn,3,on_course_open,uni,y,n,n,n,n,34.3,35.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8100000000000023,0,0,0,0,
19,Half Turn back to Bridge at Mill,Half Turn,Bridge at Mill,3,on_course_open,uni,y,y,n,n,n,35.11,38.98,13.399999999999997,17.269999999999996,0.0,0.0,0.0,0.0,0.0,0.0,3.8699999999999974,3.8699999999999974,0,0,0,
20,Full and Half return from Bridge/Mill to Station,Bridge at Mill,Full Return to Station,3,on_course_open,uni,y,y,n,n,n,38.98,42.32,17.269999999999996,20.61,0.0,0.0,0.0,0.0,0.0,0.0,3.3400000000000034,3.3400000000000034,0,0,0,
21,Full and Half Finish,Full Return to Station,Finish,3,on_course_open,uni,y,y,n,n,n,42.32,44.26,20.61,22.549999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.9399999999999977,1.9399999999999977,0,0,0,
