event,runner_id,pace,distance,start_offset
elite,AnF3gdh,2.9,5,0
elite,P7xPleu,2.9,5,0
elite,K1GKuet,2.92,5,0
elite,DK6Hjvi,2.95,5,0
elite,HxxV24Y,2.97,5,1
elite,oXgvjJ1,2.98,5,0
elite,xwda0VP,2.98,5,0
elite,u4MRR8E,2.99719528609571,5,3
elite,LUaGNA9,3.03,5,0
elite,OSrTRTp,3.0780165190092963,5,1
elite,yFjvjKQ,3.08,5,0
elite,lu7C7dT,3.13,5,1
elite,WIlLwW3,3.13,5,0
elite,925T5ve,3.15,5,1
elite,toCaUQJ,3.22,5,2
elite,0veUvAT,3.22,5,1
elite,RoTt2dA,3.3,5,1
elite,ReUm6mE,3.3,5,1
elite,cJ8kyTx,3.3268333146242064,5,2
elite,3tYeXM3,3.37,5,0
elite,ILUcASS,3.4043261988344935,5,0
elite,33QniZL,3.4163196842593084,5,2
elite,6w5LS7o,3.420247145155776,5,2
elite,sT4eFkh,3.5,5,0
elite,KuoUQCz,3.5,5,0
elite,yt9jMON,3.5,5,2
elite,qQ4X0RZ,3.5,5,0
elite,tBZFjsj,3.52,5,2
elite,iLlrDZP,3.55,5,0
elite,rYdaolK,3.55,5,1
elite,k3yhizy,3.57,5,0
elite,TtPijaF,3.58,5,0
elite,tWlEWVN,3.596033718067561,5,1
elite,rq9HM23,3.6,5,2
elite,nuHlpL6,3.62,5,2
elite,lmFUEqz,3.646624939231539,5,0
elite,DK9NlZJ,3.68,5,2
elite,HkGmwM6,3.68,5,0
elite,Kyrv1Qq,3.72,5,2
elite,e551zxW,3.77,5,2
elite,hNa6Wvi,3.78,5,1
elite,Kc29Yxk,3.9,5,2
elite,WcPH5d4,3.95,5,2
elite,1nynHMV,3.9508414764022786,5,0
elite,5kvXIb7,3.98,5,3
elite,bl8HJj2,4.0,5,2
elite,BMRvRir,4.02,5,0
elite,JjDcWHg,4.25,5,2
