seg_id,seg_label,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,flow_type,prior_seg_id,notes
A1a,Start to Queen/Regent (10K/Half),10k,half,0,0.9,0,0.9,overtake,,Start along St John Street; Overtake unlikely.
A1b,Start to Queen/Regent (10K/Full),10k,full,0,0.9,0,0.9,overtake,,Start along St John Street; No Overtake expected
A1c,Start to Queen/Regent (Half/Full),half,full,0,0.9,0,0.9,overtake,,Start along St John Street; Overtake unlikely.
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,0.9,1.8,0.9,1.8,overtake,A1a,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A2b,Queen/Regent to WSB mid-point (10K/Full),10k,full,0.9,1.8,0.9,1.8,overtake,A1b,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A2c,Queen/Regent to WSB mid-point (Half/Full),half,full,0.9,1.8,0.9,1.8,overtake,A1c,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A3a,WSB mid-point to Friel (10K/Half),10k,half,1.8,2.7,1.8,2.7,overtake,A2a,Half-way on WSB; Overtake likely.
A3b,WSB mid-point to Friel (10K/Full),10k,full,1.8,2.7,1.8,2.7,overtake,A2b,Half-way on WSB; Overtake possible (Fast 10K / Slow Full).
A3c,WSB mid-point to Friel (Half/Full),half,full,1.8,2.7,1.8,2.7,overtake,A2c,Half-way on WSB; Overtake possible (Fast Half / Slow Full).
B1,Friel to 10K Turn (Out),10k,full,2.7,4.25,2.7,4.25,overtake,,On Trail (1.5m lane); Overtake expected (Fast 10K / Slow Full).
B1a,Friel to 10K Turn (Late Overlaps),10k,full,2.7,4.25,14.8,16.35,overtake,,On Trail (1.5m lane) where slow 10K out to 10K Turn meet Fast Full on their return from Blake Crt. Density only as in opposite direction of flow.
B2,10K Turn to Friel (Back),full,10k,14.8,16.35,4.25,5.8,overtake,,On Trail (1.5m lane); Expect Overtake by Fast Full / Slow 10K)
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,2.7,4.25,4.25,5.8,overtake,,On Trail (1.5m lane); 10K outbound and return from 10K Turn. No Overtake - simply Density.
D1,10K Turn to Full Turn Blake Crt (out/return),full,full,4.25,9.52,9.52,14.79,none,,On Trail (1.5m lane) where this is Full out/back from 10K Turn to Full Turn at Blake Crt.
F1a,Friel to Station Rd.,10k,half,5.8,8.1,2.7,5,merge,,"On Trail (3.0m, two lanes); Overtake expected (Fast 10K / Slow Half)."
F1b,Friel to Station Rd.,10k,full,5.8,8.1,16.35,18.65,merge,F1,"On Trail (3.0m, two lanes); Overtake possible (Slow 10K / Fast Full)."
F1c,Friel to Station Rd.,half,full,2.7,5,16.35,18.65,merge,F1,"On Trail (3.0m, two lanes); Overtake possible (Slow Half / Fast Full)."
G1,Full Loop QS to Trail/Aberdeen (Full Only),full,full,20.55,21.65,20.55,21.65,none,,"Full Only on Aberdeen, St John, McLeod, Lincoln Trail (Queen Sq. Loop)"
H1a,Trail/Aberdeen to Station Rd (Full outbound to Station vs 10K finish),full,10k,21.65,23.26,8.1,10,counterflow,,Trail at Aberdeen (by water pump station) to Station Rd. where Full runners go right to Gibson Trail. 10K heading southbound to Finish. Shared segment with Half.
H1b,Trail/Aberdeen to Station Rd. (Full outbound to Station vs Half finish),full,half,21.65,23.26,19.35,20.85,counterflow,,Trail at Aberdeen (by water pump station) to Station Rd. where Full and Half runners go right to Gibson Trail. Shared segment with 10K.
I1,Station Rd. to Bridge/Mill (Half + Full co-direction),half,full,5,10.75,23.26,29.01,counterflow,,"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. "
J1,Bridge/Mill to Half Turn (Half + Full co-direction),half,full,10.75,13.43,29.01,31.64,counterflow,,On Trial (1.5m lane) Half to Half Turn. Will continue to Full Turn. Shared with Half.
J2,Half Turn to Full Turn (Full outbound spur),full,full,31.64,33.11,31.64,33.11,none,,On Trail (1.5m lane) Full outbound to Full Turn.
J3,Full Turn to Half Turn (Full returning spur),full,full,33.11,34.34,33.11,34.34,none,,On Trail (1.5m lane) Full returning from Full Turn to Half Turn.
