seg_id,seg_label,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,flow_type,prior_seg_id,notes
A1a,Start to Queen/Regent (10K/Half),10k,half,0,0.9,0,0.9,overtake,,Start along St John Street; Overtake unlikely.
A1b,Start to Queen/Regent (10K/Full),10k,full,0,0.9,0,0.9,overtake,,Start along St John Street; No Overtake expected
A1c,Start to Queen/Regent (Half/Full),half,full,0,0.9,0,0.9,overtake,,Start along St John Street; Overtake unlikely.
A2a,Queen/Regent to WSB mid-point (10K/Half),10k,half,0.9,1.8,0.9,1.8,overtake,A1a,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A2b,Queen/Regent to WSB mid-point (10K/Full),10k,full,0.9,1.8,0.9,1.8,overtake,A1b,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A2c,Queen/Regent to WSB mid-point (Half/Full),half,full,0.9,1.8,0.9,1.8,overtake,A1c,Pointe St. Anne Blvd to half-way on WSB; Overtake unlikely.
A3a,WSB mid-point to Friel (10K/Half),10k,half,1.8,2.7,1.8,2.7,overtake,A2a,Half-way on WSB; Overtake likely.
A3b,WSB mid-point to Friel (10K/Full),10k,full,1.8,2.7,1.8,2.7,overtake,A2b,Half-way on WSB; Overtake possible (Fast 10K / Slow Full).
A3c,WSB mid-point to Friel (Half/Full),half,full,1.8,2.7,1.8,2.7,overtake,A2c,Half-way on WSB; Overtake possible (Fast Half / Slow Full).
B1,Friel to 10K Turn (Out),10k,full,2.7,4.25,2.7,4.25,overtake,,On Trail (1.5m lane); Overtake expected (Fast 10K / Slow Full).
B1a,Friel to 10K Turn (Late Overlaps),10k,full,2.7,4.25,14.8,16.35,overtake,,On Trail (1.5m lane) where slow 10K out to 10K Turn meet Fast Full on their return from Blake Crt. Density only as in opposite direction of flow.
B2,10K Turn to Friel (Back),full,10k,14.8,16.35,4.25,5.8,overtake,,On Trail (1.5m lane); Expect Overtake by Fast Full / Slow 10K)
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,2.7,4.25,4.25,5.8,overtake,,On Trail (1.5m lane); 10K outbound and return from 10K Turn. No Overtake - simply Density.
C1,10K Turn to Royal (Full Out/Back),full,full,4.25,5.08,13.96,14.79,none,B3,"On Trail (1.5m lane, shared with Full Back) where this is Full Out from 10K Turn to Full Turn at Blake."
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,5.08,7.41,11.63,13.96,none,C1,"On Trail (1.5m lane, shared with Full Back) where this is Full Out from 10K Turn to Full Turn at Blake."
C3,Sunset at Claremont to Full Turn at Blake (Full Out/Back),full,full,7.41,9.52,9.52,11.63,none,C2,"On Trail (1.5m lane, shared with Full Back) where this is Full Out from 10K Turn to Full Turn at Blake."
D1,Full Turn at Blake to Sunset at Claremont (Full Back),full,full,13.96,14.79,13.96,14.79,none,C3,"On Trail (1.5m lane, shared with Full Out) where this is Full Back from Full Turn at Blake to 10K Turn"
D2,Sunset at Claremont to Royal (Full Back),full,full,11.63,13.96,11.63,13.96,none,D1,"On Trail (1.5m lane, shared with Full Out) where this is Full Back from Full Turn at Blake to 10K Turn"
D3,Royal to 10K Turn (Full Back),full,full,9.52,11.63,9.52,11.63,none,D2,"On Trail (1.5m lane, shared with Full Out) where this is Full Back from Full Turn at Blake to 10K Turn"
E1a,Friel to Hughes,10k,half,5.8,6.43,2.7,3.33,merge,,"On Trail (3.0m, two lanes); Overtake expected (fast 10k / slow half). Keep right critical."
E1b,Friel to Hughes,10k,full,5.8,6.43,16.35,16.98,merge,,"On Trail (3.0m, two lanes); Overtake expected (slow 10K / fast full). Keep right critical."
E1c,Friel to Hughes,half,full,2.7,3.33,16.35,16.98,merge,,"On Trail (3.0m, two lanes); Overtake expected (slow half / fast full returning from Full turn at Blake). Keep right critical."
E2a,Hughes to Neil,10k,half,6.43,7.09,3.33,3.99,merge,E1a,"On Trail (3.0m, two lanes); Overtake expected (fast 10k / slow half). Keep right critical."
E2b,Hughes to Neil,10k,full,6.43,7.09,16.98,17.64,merge,E1b,"On Trail (3.0m, two lanes); Overtake expected (slow 10K / fast full). Keep right critical."
