event,runner_id,pace,distance,start_offset
half,sZNEqtG,3.583333333,21.1,0
half,6iF6okk,3.691008701359582,21.1,21
half,L2MsiVx,3.7,21.1,3
half,JogLfAd,3.7383999567372665,21.1,89
half,1gZ9syy,3.7641764414405348,21.1,66
half,0uy95pG,3.8,21.1,0
half,c0GfTcw,3.808567276723494,21.1,28
half,f6qv5fX,3.808914609123211,21.1,105
half,RGzkjvm,3.816666667,21.1,1
half,sE3qnaA,3.816666667,21.1,3
half,BPtUBwV,3.8247120814338764,21.1,29
half,HgLSrbI,3.85,21.1,22
half,FohApxe,3.86023027524472,21.1,121
half,CJtiWas,3.883333333,21.1,2
half,vf3w3Ze,3.9,21.1,5
half,rG8XuGs,3.9,21.1,8
half,igdSQS4,3.933333333,21.1,0
half,3RwgMZx,3.947890743183465,21.1,90
half,J3ma5An,3.966666667,21.1,0
half,DeOWRqz,3.983333333,21.1,2
half,SLwhsxF,4.016666667,21.1,2
half,lFVscLA,4.033333333,21.1,0
half,nvMCZ1h,4.033333333,21.1,8
half,mp8dFSQ,4.033333333,21.1,6
half,97RWXgP,4.05,21.1,0
half,MrLC00A,4.066666667,21.1,9
half,eBbpv8W,4.066666667,21.1,5
half,FOEde5h,4.076701272385369,21.1,88
half,xlbESzP,4.083333333,21.1,4
half,aprOcXB,4.1,21.1,2
half,RQTq9tP,4.1,21.1,6
half,t1uGxzP,4.116666667,21.1,5
half,fWLZx4p,4.116666667,21.1,3
half,QtdPSPI,4.1323265012987545,21.1,46
half,HCjDQKc,4.133333333,21.1,4
half,hfDu5Jg,4.133333333,21.1,17
half,yzEwgnd,4.15,21.1,6
half,c6uoqOu,4.15,21.1,21
half,HPWNBlg,4.166666667,21.1,3
half,zWpP8Sr,4.166666667,21.1,28
half,EjayiHF,4.166666667,21.1,8
half,zJTaOQd,4.166666667,21.1,5
half,1aTBSKg,4.166666667,21.1,4
half,Etr6Qfc,4.166666667,21.1,2
half,GPOTMf4,4.183333333,21.1,3
half,Wg9K2OB,4.183333333,21.1,9
half,81yhUnC,4.183333333,21.1,9
half,GIcZ5wy,4.189686992835855,21.1,32
half,hev5Ktg,4.216666667,21.1,12
half,gSAUZxZ,4.266666667,21.1,18
half,WViNyLs,4.266666667,21.1,12
half,KYS2Yto,4.266666667,21.1,6
half,3ys4PCK,4.3,21.1,4
half,6AVbxhk,4.3,21.1,7
half,4ghFcnW,4.316666667,21.1,9
half,wXzWmOg,4.316666667,21.1,5
half,xM1jx91,4.316666667,21.1,3
half,cCVhBVa,4.3648482232729044,21.1,31
half,C9NJNCQ,4.366666667,21.1,9
half,1V0PHc9,4.366666667,21.1,5
half,3FfH39e,4.383333333,21.1,5
half,g9RtsFJ,4.383333333,21.1,13
half,rij3TJ5,4.4,21.1,12
half,2EHdnQ0,4.4,21.1,16
half,HZAb86U,4.4,21.1,16
half,oxxmQDi,4.4,21.1,4
half,PR5WwPU,4.4,21.1,31
half,9GDHMih,4.416666667,21.1,16
half,vC8CdHY,4.416666667,21.1,6
half,1zLeWvY,4.416666667,21.1,16
half,khJ2L5y,4.416666667,21.1,4
half,5yuLzNa,4.423891491481723,21.1,120
half,5UYyCwT,4.433333333,21.1,5
half,CgyuEQB,4.433333333,21.1,5
half,Z31F3uw,4.433333333,21.1,6
half,cs20ZTb,4.45,21.1,19
half,M14nxCf,4.45,21.1,16
half,KdQY60k,4.45482128585846,21.1,109
half,lE1twEV,4.464602810879546,21.1,29
half,1sbDXLq,4.466666667,21.1,7
half,Mfptcq0,4.466666667,21.1,31
half,HmHvcmV,4.466666667,21.1,11
half,jU6t3xH,4.466666667,21.1,4
half,X3JSPpz,4.466666667,21.1,6
half,ky687VS,4.483333333,21.1,11
half,ahVtd93,4.5,21.1,23
half,JRoiIZf,4.5,21.1,11
half,jz5n4SF,4.5,21.1,8
half,UBxZ67Z,4.513835053663961,21.1,114
half,pf0KdL9,4.514347054913091,21.1,107
half,wIzFgON,4.516666667,21.1,20
half,ikDr2iU,4.516666667,21.1,5
half,cqKZEkK,4.516666667,21.1,14
half,1IgJNzS,4.5198697442541755,21.1,116
half,vtXhkgX,4.523217070171418,21.1,23
half,l6HXiS2,4.524399305075584,21.1,93
half,k7ZbNmc,4.535073506196152,21.1,83
half,ZnC04wj,4.55,21.1,19
half,w9tGmQn,4.55,21.1,11
half,NHKKruR,4.560038477872495,21.1,31
half,4021dqT,4.566666667,21.1,21
half,3NUV9gG,4.566666667,21.1,15
half,ZIGRk1n,4.566666667,21.1,9
half,RYd6XD9,4.566666667,21.1,12
half,2s9yipm,4.583333333,21.1,14
half,zqPDi49,4.583333333,21.1,23
half,gAx2ZNj,4.6,21.1,24
half,Aw5tgcx,4.6,21.1,23
half,fIeQd1w,4.605798645408002,21.1,44
half,Grn2jWS,4.608404951307639,21.1,81
half,lLE1REJ,4.616666667,21.1,25
half,Q6ShCi7,4.616666667,21.1,30
half,PCSVA6w,4.633333333,21.1,7
half,xuHUImM,4.633333333,21.1,124
half,sy8BjNL,4.633333333,21.1,73
half,zxHsrkU,4.65,21.1,6
half,C1MSdBk,4.6631650582466815,21.1,12
half,DXo0Yda,4.666666667,21.1,34
half,nN04lk9,4.666666667,21.1,35
half,7Kmj213,4.666666667,21.1,12
half,L2VBuEp,4.666666667,21.1,27
half,Pz4wsQe,4.666666667,21.1,8
half,bXX4O3u,4.677497545715769,21.1,98
half,nlcmHME,4.678319540839194,21.1,71
half,TUhKsws,4.683333333,21.1,21
half,r2Tl0uG,4.683333333,21.1,6
half,ZL9955R,4.683333333,21.1,43
half,QB8mI7a,4.683333333,21.1,30
half,5TQDUuQ,4.683333333,21.1,8
half,sC6TS5C,4.683333333,21.1,15
half,AYaDock,4.683333333,21.1,14
half,ie3U2kr,4.683333333,21.1,13
half,fQ0biLB,4.689855180129908,21.1,74
half,giFkFUW,4.7,21.1,10
half,sk2gOk7,4.7,21.1,54
half,yJ40rTZ,4.7,21.1,11
half,fvlddaZ,4.716666667,21.1,25
half,q9cSKCG,4.716666667,21.1,19
half,zZXbxGm,4.716666667,21.1,18
half,FV4DeW0,4.716666667,21.1,7
half,m9k7nLc,4.716666667,21.1,10
half,eB9pBKs,4.733333333,21.1,11
half,2XjQLnm,4.733333333,21.1,9
half,jg8ni49,4.733333333,21.1,33
half,lgDYRYq,4.733333333,21.1,56
half,waaBjhf,4.733333333,21.1,11
half,evOVlPL,4.748560582632194,21.1,88
half,hu9olvQ,4.75,21.1,44
half,e0VwqdH,4.75,21.1,5
half,i0PcIEZ,4.75,21.1,16
half,Qys1Tdd,4.75,21.1,17
half,3Gll4fO,4.75,21.1,17
half,xuKrMfG,4.7563341058593025,21.1,108
half,A99G8kJ,4.760927268240035,21.1,4
half,v9CLXZy,4.766666667,21.1,19
half,e8FDPYq,4.766666667,21.1,19
half,lbaiR9X,4.766666667,21.1,27
half,yrBtaWk,4.783333333,21.1,9
half,ZZhRAsL,4.783333333,21.1,17
half,oaMXtzZ,4.783333333,21.1,55
half,3zr5Y4Y,4.783333333,21.1,3
half,8eC3Ml5,4.783333333,21.1,19
half,saE7AgF,4.797524750949089,21.1,99
half,qkd53OK,4.805163850197607,21.1,96
half,lzCDYh9,4.814148447316896,21.1,27
half,bo0NDwz,4.816666667,21.1,14
half,7GxEnm3,4.816666667,21.1,18
half,RDCfwHn,4.816666667,21.1,21
half,cbzIAYO,4.832989376863927,21.1,105
half,H3WN6hl,4.833333333,21.1,40
half,cFxjS7l,4.833333333,21.1,22
half,InlDoSN,4.833333333,21.1,21
half,MHhVaqd,4.833333333,21.1,27
half,edjKqIR,4.833333333,21.1,14
half,UTWoKVv,4.833333333,21.1,21
half,VdeGtco,4.833333333,21.1,11
half,CDUSmtI,4.85,21.1,22
half,mofzOe4,4.85,21.1,35
half,YB5nID3,4.852404168299916,21.1,16
half,DnNfgAe,4.856925984864796,21.1,45
half,gPfM6mE,4.866666667,21.1,6
half,XKICMkB,4.866666667,21.1,40
half,WCzpCG1,4.866666667,21.1,35
half,DYwUehM,4.881436669930339,21.1,29
half,jpwYMNF,4.883333333,21.1,13
half,yEw3KLZ,4.883333333,21.1,22
half,F3mPGDp,4.883333333,21.1,29
half,I4zE7Rx,4.883333333,21.1,19
half,8TXow69,4.883333333,21.1,36
half,pU6L6tm,4.883333333,21.1,17
half,W0XwB6u,4.883333333,21.1,23
half,uVmzW87,4.883333333,21.1,18
half,uJHunhy,4.9,21.1,30
half,WwO9Tqr,4.9,21.1,25
half,IExE2C4,4.9,21.1,17
half,dBS107d,4.9,21.1,25
half,xHIUjtk,4.916666667,21.1,8
half,GOm6QJ3,4.916666667,21.1,15
half,Xx8hHmo,4.916666667,21.1,22
half,BLmEtqu,4.916666667,21.1,19
half,8sk5ROd,4.916666667,21.1,29
half,GN48vaB,4.916666667,21.1,27
half,MvpycoF,4.933333333,21.1,17
half,wHTCrEN,4.933333333,21.1,19
half,V8w056U,4.933333333,21.1,14
half,Juzo68E,4.933333333,21.1,31
half,1OtsdiI,4.933333333,21.1,9
half,IJ2yd1T,4.933333333,21.1,30
half,7438NL5,4.933333333,21.1,30
half,M4I29Lm,4.933333333,21.1,11
half,PMmd4er,4.933333333,21.1,24
half,3gE2kQz,4.93660058281367,21.1,111
half,G4SDTU0,4.939067774219062,21.1,94
half,1lZj6Jx,4.95,21.1,32
half,TsFq5WD,4.966666667,21.1,34
half,YSUY7Mw,4.966666667,21.1,12
half,rX52CCy,4.966666667,21.1,31
half,fFNWobi,4.966666667,21.1,15
half,blYHptE,4.983333333,21.1,28
half,aTAQaJB,4.983333333,21.1,22
half,uaV02Nf,4.998942496896395,21.1,41
half,9jRZG9P,5.0,21.1,85
half,q1ts9DC,5.0,21.1,16
half,yQk3ZTI,5.0,21.1,37
half,kXp1TbU,5.016666667,21.1,25
half,fzA70YQ,5.016666667,21.1,41
half,MPrP3B4,5.016666667,21.1,28
half,YLpoBjq,5.017034282175731,21.1,38
half,vcMeK16,5.017307364256448,21.1,33
half,SisIrsH,5.032432688349523,21.1,105
half,5yyXmXQ,5.033333333,21.1,22
half,resWysR,5.033333333,21.1,20
half,CJTp41D,5.033333333,21.1,22
half,vrRICzq,5.05,21.1,32
half,1FE1806,5.05,21.1,8
half,h7pLkhe,5.05,21.1,27
half,5Tic8s8,5.05,21.1,25
half,VSGVUop,5.05,21.1,48
half,2zldZC5,5.05,21.1,24
half,gqRDIaN,5.05,21.1,20
half,AJj8Afx,5.056771973431299,21.1,97
half,aBcCpBK,5.058741351140397,21.1,103
half,cySMs9C,5.066666667,21.1,25
half,U7mNGTP,5.066666667,21.1,27
half,2Xr7MrB,5.066666667,21.1,25
half,mYK5uTq,5.066666667,21.1,25
half,yVqIExA,5.083333333,21.1,49
half,jhp7lEt,5.083333333,21.1,28
half,YKuePhd,5.086670542345067,21.1,60
half,6RvDyuZ,5.090704889299812,21.1,50
half,B2PVU97,5.093952445989709,21.1,105
half,6cVBtFE,5.1,21.1,15
half,mS9wy5e,5.1,21.1,29
half,NN0VmTM,5.104455025264684,21.1,82
half,PTybxrb,5.116666667,21.1,25
half,5oeTtAb,5.116666667,21.1,22
half,leeuRpl,5.120906391420933,21.1,23
half,9tKvl2B,5.131707294254452,21.1,70
half,c9Qkudr,5.133333333,21.1,29
half,iF3MLxH,5.133333333,21.1,39
half,eI4EqaC,5.133333333,21.1,45
half,uA7tuOP,5.133333333,21.1,95
half,7Su8YU2,5.133333333,21.1,24
half,hO1NC1J,5.133333333,21.1,21
half,AKcMlyi,5.133333333,21.1,9
half,uuC1bEg,5.133333333,21.1,25
half,xpqWPq5,5.133333333,21.1,8
half,JoUXObK,5.137997984432823,21.1,65
half,PzdqNNW,5.141348166634047,21.1,11
half,i3oSky8,5.141924153359693,21.1,31
half,BWzxOZS,5.15,21.1,31
half,ZzKEcOb,5.15,21.1,45
half,HEceMBW,5.15,21.1,18
half,4Y4kgEj,5.15,21.1,30
half,lPYzjbe,5.15,21.1,52
half,03jvGJ3,5.15,21.1,56
half,AW28kiI,5.15,21.1,27
half,9jJLGL9,5.15,21.1,39
half,lvbjpnW,5.162594362133515,21.1,108
half,qPMBEvl,5.166666667,21.1,31
half,EpoAu1h,5.166666667,21.1,12
half,J8LVOtd,5.166666667,21.1,12
half,mLK9OXd,5.170273010737855,21.1,79
half,zji5xnO,5.183333333,21.1,14
half,HD0Uw5X,5.183333333,21.1,118
half,l3hVdUz,5.183333333,21.1,67
half,fu3yNTD,5.183333333,21.1,14
half,3uCeUyO,5.183333333,21.1,26
half,5NK3W9d,5.193349833152942,21.1,53
half,oLssJUV,5.2,21.1,106
half,1OOZrXk,5.2,21.1,55
half,m1qzZqd,5.2,21.1,28
half,MK3JOfi,5.2,21.1,38
half,fnKXUqG,5.2,21.1,27
half,HrruEiU,5.2,21.1,48
half,oX6h8ri,5.2,21.1,66
half,8KYAzhX,5.2,21.1,56
half,GbQyaqs,5.212146185067866,21.1,89
half,OOyXJw5,5.2164837886646165,21.1,65
half,C9ytOsh,5.216666667,21.1,28
half,O3MHTGE,5.216666667,21.1,12
half,22s90hL,5.216666667,21.1,70
half,LtSNpkj,5.221496246896975,21.1,116
half,ZBx9sG2,5.227688627480712,21.1,19
half,LpShlSy,5.227966895323159,21.1,60
half,eDlmZYz,5.233333333,21.1,34
half,boWFc6g,5.233333333,21.1,30
half,aJdvPeS,5.233333333,21.1,23
half,qYQ2Y7x,5.233333333,21.1,42
half,4mEjbL8,5.233333333,21.1,35
half,ajFNM3p,5.233333333,21.1,41
half,DpJjWSi,5.233333333,21.1,34
half,Vo0laxZ,5.234314308087434,21.1,24
half,vsZcXVu,5.2441438468072965,21.1,22
half,tvIlTor,5.25,21.1,24
half,aD86MYz,5.25,21.1,6
half,KUSPgwC,5.25,21.1,28
half,tPY4pIH,5.25,21.1,52
half,c9Ey9py,5.25,21.1,20
half,HYfljOM,5.251432135941122,21.1,114
half,7fxuQk5,5.258085588678959,21.1,63
half,AAJdvhA,5.266666667,21.1,42
half,SrqCRwm,5.266666667,21.1,29
half,4Xc0Bfg,5.266666667,21.1,37
half,4ubuzmq,5.266666667,21.1,59
half,A5HcSAL,5.275437219405467,21.1,21
half,PeFwRM9,5.283333333,21.1,8
half,et32USQ,5.283333333,21.1,62
half,Hx7dpKw,5.283333333,21.1,55
half,okwL89g,5.283333333,21.1,45
half,qehjOJ1,5.283333333,21.1,44
half,jpAQQ4v,5.283333333,21.1,19
half,SMmKka8,5.283333333,21.1,32
half,2AOEnwx,5.2858014280587575,21.1,9
half,5hIOO4z,5.2884297835116225,21.1,82
half,rTC6OIW,5.2918062786872255,21.1,96
half,KfWnwOl,5.296994747494665,21.1,90
half,PfkRZ7g,5.3,21.1,31
half,Ldthmr2,5.3,21.1,40
half,0If8k8q,5.3,21.1,40
half,woBhH3N,5.3,21.1,16
half,x7O1okk,5.3,21.1,44
half,llbrfp7,5.3,21.1,94
half,NbUPEmZ,5.3,21.1,45
half,9wg4xF1,5.3,21.1,42
half,pIuo12i,5.316666667,21.1,14
half,zpuL6cm,5.316666667,21.1,12
half,UOnhYuX,5.316666667,21.1,26
half,wNPQPR8,5.316666667,21.1,70
half,Fc7Vx9W,5.316666667,21.1,22
half,wFgUTvK,5.326094133782557,21.1,26
half,mMqCRlE,5.333333333,21.1,35
half,KF00JCk,5.333333333,21.1,17
half,naSQIXy,5.333333333,21.1,61
half,HcPxmgc,5.333333333,21.1,40
half,cD34UEF,5.333333333,21.1,113
half,F3Oy3ss,5.333333333,21.1,39
half,yhZ8J2a,5.333333333,21.1,38
half,y8knsW9,5.333333333,21.1,43
half,vfwFY6n,5.333333333,21.1,39
half,bVsZWHn,5.333333333,21.1,0
half,IsvHyB1,5.35,21.1,25
half,hA4fNrC,5.35,21.1,48
half,aS8qDFu,5.35,21.1,54
half,4BVnHbp,5.35,21.1,30
half,Yf5tdir,5.35,21.1,25
half,eyTMnib,5.35,21.1,44
half,FbdzPJI,5.35,21.1,44
half,AhqQTgk,5.35,21.1,33
half,NfAiWeX,5.35252340746642,21.1,101
half,zJLpMi0,5.366666667,21.1,32
half,VB47gXj,5.366666667,21.1,26
half,xNwt4Py,5.366666667,21.1,37
half,KF04BuY,5.366666667,21.1,32
half,St0tGxz,5.366666667,21.1,58
half,JaOMTwe,5.366666667,21.1,31
half,7FbTsna,5.366666667,21.1,38
half,jR5gwEb,5.366666667,21.1,38
half,JXMuAC2,5.374556372558129,21.1,107
half,Gnzjold,5.377509880975946,21.1,37
half,IwtXOCK,5.383333333,21.1,33
half,yPQPBwa,5.383333333,21.1,26
half,dXjdQBA,5.383333333,21.1,32
half,aIu9Nem,5.383333333,21.1,54
half,6ctVmGt,5.385492221319889,21.1,80
half,4AFKZYS,5.390245305993748,21.1,76
half,jSORc0H,5.4,21.1,50
half,4lHRfqm,5.4,21.1,57
half,Wb6CUtd,5.4,21.1,42
half,NYyHTM6,5.4,21.1,58
half,Onbwn3C,5.4,21.1,27
half,ogP3tke,5.4112402074011925,21.1,69
half,huOMynC,5.416666667,21.1,62
half,3bhWxWj,5.416666667,21.1,38
half,ghw266S,5.416666667,21.1,52
half,wFUhJl9,5.416666667,21.1,35
half,hAtDnOJ,5.416666667,21.1,84
half,YlAczpX,5.423284588581428,21.1,111
half,N7hbzBg,5.432866868276492,21.1,92
half,zalXWSH,5.433333333,21.1,41
half,Bt60XyE,5.433333333,21.1,30
half,M1SVDh3,5.433333333,21.1,45
half,6qTpaU1,5.433333333,21.1,47
half,E4Cr3Fc,5.433333333,21.1,47
half,Xt6Ao6p,5.433333333,21.1,41
half,Gruwnse,5.433333333,21.1,57
half,SFNv0Ax,5.433333333,21.1,57
half,2nE6JT0,5.433333333,21.1,55
half,o7KIOIB,5.4379103098758845,21.1,41
half,hBzP5PQ,5.438603075950489,21.1,25
half,AnHrqlN,5.43871291742282,21.1,53
half,AOGs2vH,5.440805365268598,21.1,34
half,bhZdo7c,5.45,21.1,61
half,b2D2DPa,5.45,21.1,45
half,xpE86e4,5.45,21.1,44
half,FkS7P5n,5.451428735777826,21.1,30
half,WtAguVt,5.456951861427154,21.1,101
half,TZV2P9p,5.466666667,21.1,20
half,Bhq1ZPh,5.466666667,21.1,63
half,Fu2lLUV,5.466666667,21.1,30
half,JfiJFqY,5.466888991580323,21.1,95
half,51KYluE,5.482564964701159,21.1,72
half,HPId82M,5.483333333,21.1,31
half,IGghVv8,5.483333333,21.1,83
half,tJv3ktC,5.483333333,21.1,19
half,7iqLYUc,5.483333333,21.1,66
half,l7PmEep,5.483333333,21.1,83
half,FZ7SSRz,5.483333333,21.1,61
half,tosqdAb,5.490585182020858,21.1,20
half,ftPmbim,5.492115835724193,21.1,32
half,x2y6Lfy,5.5,21.1,54
half,NdBOqAi,5.5,21.1,29
half,DE9yCAi,5.5,21.1,66
half,KDRk9vj,5.5,21.1,94
half,dutoDBi,5.5,21.1,124
half,8cNTjTG,5.507556654154949,21.1,67
half,STjTotm,5.511594641025093,21.1,0
half,VZEeKdd,5.5157229958337775,21.1,92
half,HxWiEgQ,5.516666667,21.1,67
half,6MDR5TH,5.516666667,21.1,74
half,6Zinbvc,5.516666667,21.1,60
half,LMAWtSe,5.516666667,21.1,46
half,tkFlEDO,5.516666667,21.1,60
half,RKHjUBM,5.516666667,21.1,78
half,lF10LDP,5.516666667,21.1,50
half,G96vH04,5.533333333,21.1,40
