event,runner_id,pace,distance,start_offset
open,Hb2HReG,3.35,5,0
open,Df1adkL,3.45,5,0
open,AEeZEnc,3.68,5,0
open,JGBcnl9,3.691233320340842,5,51
open,VyvwrLD,3.72,5,0
open,qTZWOnc,3.72,5,0
open,vC9XsdL,3.75,5,2
open,e49lFCj,3.75,5,0
open,UNU5Mnx,3.834915355027287,5,39
open,MD6TAF6,3.85,5,1
open,Av7iXcR,3.98,5,3
open,XLjNEKa,3.98,5,40
open,ROA8KPK,4.0,5,0
open,PHshYM0,4.02,5,4
open,nniWsjV,4.05,5,0
open,LoMF2l6,4.08,5,2
open,JirxiYL,4.1,5,1
open,aQ2Nqih,4.1,5,1
open,QWZLqjI,4.12,5,4
open,3ALt5Rg,4.126273979737542,5,24
open,JBaYhek,4.15,5,4
open,AERHsKW,4.18,5,3
open,aaWcXM4,4.198468867421655,5,32
open,nuGF5eO,4.22,5,46
open,BfXtjsn,4.22,5,0
open,LWTdUUG,4.23,5,3
open,Rd77bLy,4.25,5,0
open,Xup94Pn,4.250290406619641,5,15
open,L8NzGyD,4.27,5,0
open,nvmbcmx,4.28,5,1
open,DBOTndB,4.3,5,3
open,leofLtI,4.3,5,2
open,gO5Iygn,4.319231739395263,5,38
open,lrR76LM,4.33,5,3
open,lEs9sqa,4.35,5,0
open,qdNdfoq,4.35,5,0
open,20VQqkD,4.4002606209813715,5,13
open,YOatae3,4.411101256410746,5,43
open,jXpUfwh,4.421294227242623,5,44
open,8UVsEPs,4.444111041639975,5,38
open,LGffVK0,4.45,5,0
open,VW7vfuz,4.454363065267751,5,47
open,5TMw3vY,4.4625285076233725,5,58
open,OaVAUZA,4.465783085465079,5,64
open,rYe4ovZ,4.47,5,5
open,qris0zJ,4.5,5,5
open,kB1fqwW,4.5,5,5
open,s288bcg,4.52,5,6
open,5J4Qv4K,4.52,5,3
open,UVkLq82,4.52,5,0
open,rWqG7Ur,4.538154850426963,5,19
open,FSqq0ko,4.544658885506037,5,36
open,rJA9Q99,4.584640899367129,5,54
open,AaV4914,4.63,5,4
open,xoY5ai7,4.63,5,7
open,SP7nt0A,4.63,5,26
open,KU2oBIM,4.67,5,7
open,IvoLyyc,4.67,5,3
open,WN9pIHW,4.67,5,14
open,u9HkKHt,4.671815386275503,5,12
open,rgEfgQM,4.68,5,4
open,EnJwu5B,4.72,5,53
open,sTYptdK,4.73,5,2
open,qh1AHZR,4.73,5,3
open,pXaWb2E,4.73,5,4
