event,runner_id,pace,distance,start_offset,day
Elite,2898,2.9,5,0,sat
Elite,2899,2.9,5,0,sat
Elite,2900,2.92,5,0,sat
Elite,2901,2.95,5,0,sat
Elite,2902,2.97,5,1,sat
Elite,2903,2.98,5,0,sat
Elite,2904,2.98,5,0,sat
Elite,2905,3.03,5,0,sat
Elite,2906,3.08,5,0,sat
Elite,2907,3.13,5,0,sat
Elite,2908,3.13,5,1,sat
Elite,2909,3.15,5,1,sat
Elite,2910,3.22,5,1,sat
Elite,2911,3.22,5,2,sat
Elite,2912,3.3,5,1,sat
Elite,2913,3.3,5,1,sat
Elite,2914,3.37,5,0,sat
Elite,2915,3.5,5,0,sat
Elite,2916,3.5,5,0,sat
Elite,2917,3.5,5,2,sat
Elite,2918,3.5,5,0,sat
Elite,2919,3.52,5,2,sat
Elite,2920,3.55,5,1,sat
Elite,2921,3.55,5,0,sat
Elite,2922,3.57,5,0,sat
Elite,2923,3.58,5,0,sat
Elite,2924,3.6,5,2,sat
Elite,2925,3.62,5,2,sat
Elite,2926,3.68,5,0,sat
Elite,2927,3.68,5,2,sat
Elite,2928,3.72,5,2,sat
Elite,2929,3.77,5,2,sat
Elite,2930,3.78,5,1,sat
Elite,2931,3.9,5,2,sat
Elite,2932,3.95,5,2,sat
Elite,2933,3.98,5,3,sat
Elite,2934,4.0,5,2,sat
Elite,2935,4.02,5,0,sat
Elite,2936,4.25,5,2,sat
Open,2937,3.35,5,0,sat
Open,2938,3.45,5,0,sat
Open,2939,3.68,5,0,sat
Open,2940,3.72,5,0,sat
Open,2941,3.72,5,0,sat
Open,2942,3.75,5,2,sat
Open,2943,3.75,5,0,sat
Open,2944,3.85,5,1,sat
Open,2945,3.98,5,3,sat
Open,2946,4.0,5,0,sat
Open,2947,4.02,5,4,sat
Open,2948,4.05,5,0,sat
Open,2949,4.08,5,2,sat
Open,2950,4.1,5,1,sat
Open,2951,4.1,5,1,sat
Open,2952,3.98,5,40,sat
Open,2953,4.12,5,4,sat
Open,2954,4.15,5,4,sat
Open,2955,4.18,5,3,sat
Open,2956,4.22,5,0,sat
Open,2957,4.23,5,3,sat
Open,2958,4.25,5,0,sat
Open,2959,4.27,5,0,sat
Open,2960,4.28,5,1,sat
Open,2961,4.3,5,3,sat
Open,2962,4.3,5,2,sat
Open,2963,4.35,5,0,sat
Open,2964,4.35,5,0,sat
Open,2965,4.33,5,3,sat
Open,2966,4.22,5,46,sat
Open,2967,4.45,5,0,sat
Open,2968,4.47,5,5,sat
Open,2969,4.5,5,5,sat
Open,2970,4.52,5,0,sat
Open,2971,4.5,5,5,sat
Open,2972,4.52,5,6,sat
Open,2973,4.52,5,3,sat
Open,2974,4.63,5,4,sat
Open,2975,4.63,5,7,sat
Open,2976,4.67,5,3,sat
Open,2977,4.67,5,7,sat
Open,2978,4.68,5,4,sat
Open,2979,4.67,5,14,sat
Open,2980,4.63,5,26,sat
Open,2981,4.73,5,3,sat
Open,2982,4.73,5,2,sat
Open,2983,4.73,5,4,sat
Open,2984,4.75,5,3,sat
Open,2985,4.73,5,15,sat
Open,2986,4.75,5,8,sat
Open,2987,4.8,5,0,sat
Open,2988,4.8,5,8,sat
Open,2989,4.82,5,6,sat
Open,2990,4.82,5,6,sat
Open,2991,4.87,5,0,sat
Open,2992,4.85,5,8,sat
Open,2993,4.87,5,4,sat
Open,2994,4.85,5,12,sat
Open,2995,4.72,5,53,sat
Open,2996,4.75,5,49,sat
Open,2997,4.75,5,47,sat
Open,2998,4.88,5,10,sat
Open,2999,4.97,5,3,sat
Open,3000,4.85,5,35,sat
Open,3001,4.97,5,3,sat
Open,3002,4.93,5,14,sat
Open,3003,4.83,5,43,sat
Open,3004,4.9,5,33,sat
Open,3005,5.0,5,13,sat
Open,3006,5.03,5,4,sat
Open,3007,5.1,5,4,sat
Open,3008,5.08,5,19,sat
Open,3009,5.12,5,9,sat
Open,3010,5.12,5,10,sat
Open,3011,5.13,5,7,sat
Open,3012,5.02,5,48,sat
Open,3013,5.17,5,4,sat
Open,3014,5.18,5,6,sat
Open,3015,5.05,5,48,sat
Open,3016,5.18,5,11,sat
Open,3017,5.2,5,13,sat
Open,3018,5.15,5,28,sat
Open,3019,5.18,5,17,sat
Open,3020,5.18,5,21,sat
Open,3021,5.17,5,25,sat
Open,3022,5.25,5,5,sat
Open,3023,5.23,5,15,sat
Open,3024,5.27,5,7,sat
Open,3025,5.27,5,7,sat
Open,3026,5.22,5,35,sat
Open,3027,5.28,5,16,sat
Open,3028,5.32,5,9,sat
Open,3029,5.32,5,9,sat
Open,3030,5.28,5,26,sat
Open,3031,5.3,5,24,sat
Open,3032,5.4,5,8,sat
Open,3033,5.35,5,27,sat
Open,3034,5.43,5,5,sat
Open,3035,5.3,5,49,sat
Open,3036,5.45,5,12,sat
Open,3037,5.47,5,9,sat
Open,3038,5.48,5,7,sat
Open,3039,5.47,5,10,sat
Open,3040,5.48,5,7,sat
Open,3041,5.48,5,7,sat
Open,3042,5.48,5,10,sat
Open,3043,5.43,5,25,sat
Open,3044,5.48,5,18,sat
Open,3045,5.4,5,49,sat
Open,3046,5.43,5,39,sat
Open,3047,5.48,5,24,sat
Open,3048,5.4,5,48,sat
Open,3049,5.53,5,10,sat
Open,3050,5.52,5,22,sat
Open,3051,5.57,5,9,sat
Open,3052,5.57,5,13,sat
Open,3053,5.57,5,13,sat
Open,3054,5.6,5,5,sat
Open,3055,5.58,5,19,sat
Open,3056,5.62,5,8,sat
Open,3057,5.63,5,6,sat
Open,3058,5.58,5,18,sat
Open,3059,5.55,5,28,sat
Open,3060,5.58,5,26,sat
Open,3061,5.52,5,49,sat
Open,3062,5.67,5,21,sat
Open,3063,5.67,5,22,sat
Open,3064,5.72,5,6,sat
Open,3065,5.72,5,7,sat
Open,3066,5.72,5,7,sat
