seg_id,segment_label,eventA,eventB,from_km_A,to_km_A,from_km_B,to_km_B,direction,width_m,user_analysis,user_gpt_analysis,overnight_result,my_analysis,my_recommendation,convergence_km,notes
A1a,Start to Queen/Regent,10K,Half,0,0.9,0,0.9,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early start segments,,Early segments have no convergence - runners haven't spread out yet
A1b,Queen/Regent to WSB mid-point,10K,Half,0.9,1.8,0.9,1.8,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A1c,WSB mid-point to Friel,10K,Half,1.8,2.7,1.8,2.7,uni,10,Overtake,confirm,Convergence Point: 2.36km Count: 22 10K 288 Half,Overtake,AGREE - True overtake segment,2.36,Perfect - this is the primary convergence zone
A2a,Start to Queen/Regent,10K,Full,0,0.9,0,0.9,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A2b,Queen/Regent to WSB mid-point,10K,Full,0.9,1.8,0.9,1.8,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A2c,WSB mid-point to Friel,10K,Full,1.8,2.7,1.8,2.7,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A3a,Start to Queen/Regent,Half,Full,0,0.9,0,0.9,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A3b,Queen/Regent to WSB mid-point,Half,Full,0.9,1.8,0.9,1.8,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
A3c,WSB mid-point to Friel,Half,Full,1.8,2.7,1.8,2.7,uni,10,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No overtakes in early segments,,Early segments have no convergence - runners haven't spread out yet
B1,Friel to 10K Turn (outbound),10K,Full,2.7,4.25,2.7,4.25,uni,3,Overtake,analyze,Convergence Point: 3.48km Count: 72 10K 31 Full,Overtake,AGREE - True overtake segment,3.48,Perfect - this is the primary convergence zone
B2,Friel to 10K Turn (out vs return),10K,10K,2.7,4.25,4.25,5.81,bi,1.5,Density,confirm,No overlaps detected in this segment,Density,AGREE - Bidirectional same event,,Bidirectional same event - no overtakes possible
C1,10K Turn to Friel (slow return) vs Full (fast return),10K,Full,4.25,5.81,14.8,16.33,bi,1.5,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No convergence detected,,Bidirectional segment - no convergence zone overlaps found
C2,10K Turn to Friel (return) vs Full (late),10K,Full,4.25,5.81,2.7,4.25,bi,1.5,Density,confirm,No convergence zone overlaps detected,Density,AGREE - Bidirectional density,,Bidirectional density analysis
D1,Friel to 10K Turn (Full only),Full,Full,2.7,4.25,2.7,4.25,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event no overlaps,,Same event - no overlaps possible
D2,10K Turn to 14.8km (Full only),Full,Full,4.25,9.52,9.52,14.8,bi,3,Density,analyze,No overlaps detected in this segment,Density,AGREE - Same event bidirectional,,Same event bidirectional - density analysis only
E1,Friel to 10K Turn (late overlaps),10K,Full,2.7,4.25,14.8,16.33,bi,1.5,Density,confirm,Convergence Point: 3.48km Count: 72 10K 31 Full,Overtake,CHANGE - This is duplicate of B1,3.48,This is duplicate of B1 - same convergence zone
F1,Friel to 10K Return (continuing),10K,10K,5.81,8.1,5.81,8.1,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event continuity,,Same event continuity check
F2,Friel to Station/Barker (shared path),10K,Half,5.81,8.1,2.7,4.95,uni,3,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No convergence detected,,No convergence zone overlaps found in overnight analysis
F3,Friel to Station/Barker (shared path),10K,Full,5.81,8.1,16.33,18.59,uni,3,Overtake,analyze,No convergence zone overlaps detected,Density,CHANGE - No convergence detected,,No convergence zone overlaps found in overnight analysis
F4,Friel to Station/Barker,Half,Full,2.7,4.95,16.33,18.59,uni,3,Overtake,confirm,No convergence zone overlaps detected,Density,CHANGE - No convergence detected,,No convergence zone overlaps found in overnight analysis
G1,Station/Barker to Queen Square (10K to Finish),10K,10K,8.1,10,8.1,10,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event finish,,Same event finish approach
G2,Station/Barker to Queen Square (Half to Finish),Half,Half,19.35,21.1,19.35,21.1,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event finish,,Same event finish approach
G3,Station/Barker to Queen Square (Full loop inbound),Full,Full,18.59,20.54,18.59,20.54,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event finish,,Same event finish approach
G4,Station/Barker to Queen Square (Full final finish),Full,Full,40.5,42.2,40.5,42.2,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event finish,,Same event finish approach
G5,Station/Barker to Queen Square (10K & Half finishes),10K,Half,8.1,10,19.35,21.1,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
G6,Station/Barker to Queen Square (10K & Full final finish),10K,Full,8.1,10,40.5,42.2,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
G7,Station/Barker to Queen Square (Half & Full final finish),Half,Full,19.35,21.1,40.5,42.2,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
G8,Station/Barker to Queen Square (Half finish & Full loop inbound),Half,Full,19.35,21.1,18.59,20.54,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
G9,Station/Barker to Queen Square (10K finish & Full loop inbound),10K,Full,8.1,10,18.59,20.54,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
H1,Queen Square Loop (Full only),Full,Full,20.54,21.65,20.54,21.65,uni,3,Density,confirm,No overlap possible,Density,AGREE - Same event loop,,Same event loop - density only
H2,Queen Square to Station/Barker (Full outbound to Station/Barker vs 10K finish),Full,10K,21.65,23.26,8.1,10,bi,1.5,Density,confirm,No convergence zone overlaps detected,Density,AGREE - Bidirectional density,,Bidirectional density analysis
H3,Queen Square to Station/Barker (Full outbound to Station/Barker vs Half finish),Full,Half,21.65,23.26,19.35,21.1,bi,1.5,Density,confirm,No convergence zone overlaps detected,Density,AGREE - Bidirectional density,,Bidirectional density analysis
I1,Station/Barker to Bridge/Mill (Half outbound),Half,Half,4.95,10.84,4.95,10.84,uni,3,Density,analyze,No overlap possible,Density,AGREE - Same event outbound,,Same event outbound - density analysis
I2,Station/Barker to Bridge/Mill (Full outbound),Full,Full,23.26,29.06,23.26,29.06,uni,3,Density,confirm,No overlap possible,Density,AGREE - Same event outbound,,Same event outbound - density analysis
I3,Station/Barker to Bridge/Mill (Half + Full co-direction),Half,Full,4.95,10.84,23.26,29.06,uni,3,TBD,confirm,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
J1,Bridge/Mill to Half Turn (Half outbound),Half,Half,10.84,13.43,10.84,13.43,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event outbound,,Same event outbound - density analysis
J2,Bridge/Mill to Half Turn (Full outbound),Full,Full,29.06,31.64,29.06,31.64,uni,3,TBD,analyze,No overlap possible,Density,AGREE - Same event outbound,,Same event outbound - density analysis
J3,Bridge/Mill to Half Turn (Half + Full co-direction),Half,Full,10.84,13.43,29.06,31.64,uni,3,TBD,analyze,No convergence zone overlaps detected,Density,AGREE - No convergence,,No convergence zone overlaps found
K1,Half Turn to Full Turn (Full outbound spur),Full,Full,31.64,33.11,31.64,33.11,uni,3,Density,analyze,No overlap possible,Density,AGREE - Same event spur,,Same event spur - density analysis
K2,Full Turn to Half Turn (Full returning spur),Full,Full,33.11,34.34,33.11,34.34,uni,3,Density,analyze,No overlap possible,Density,AGREE - Same event spur,,Same event spur - density analysis
