# zone_by: areal
# zone_cuts: [7.5, 15.0, 30.0, 50.0]
seg_id,segment_label,direction,width_m,eventA,from_km_A,to_km_A,eventB,from_km_B,to_km_B,length_km,peak_km,peak_A,peak_B,peak_combined,areal_density,crowd_density,zone
A1a,Start to Queen/Regent,uni,10.0,,,,,,,0,0.0,586,0,586,58.6,19.53,dark-red
A1b,PSAB to WSB mid-point,uni,10.0,,,,,,,0,0.9,20,0,20,2.0,0.67,green
A1c,WSB mid-point to Friel,uni,10.0,,,,,,,0,1.8,7,0,7,0.7,0.23,green
A2a,Start to Queen/Regent,uni,10.0,,,,,,,0,0.0,0,286,286,28.6,9.53,orange
A2b,PSAB to WSB mid-point,uni,10.0,,,,,,,0,0.9,0,89,89,8.9,2.97,yellow
A2c,WSB mid-point to Friel,uni,10.0,,,,,,,0,1.8,0,36,36,3.6,1.2,green
A3a,Start to Queen/Regent,uni,10.0,,,,,,,0,0.0,0,286,286,28.6,9.53,orange
A3b,PSAB to WSB mid-point,uni,10.0,,,,,,,0,0.9,0,89,89,8.9,2.97,yellow
A3c,WSB mid-point to Friel,uni,10.0,,,,,,,0,1.8,0,36,36,3.6,1.2,green
B1,Friel to 10K Turn (outbound),uni,3.0,,,,,,,0,2.7,0,28,28,9.33,3.11,yellow
B2,Friel to 10K Turn (out vs return),bi,1.5,,,,,,,0,2.7,3,0,3,4.0,1.33,green
C1,10K Turn to Friel (return) vs Full (early),bi,1.5,,,,,,,0,4.25,2,0,2,2.67,0.89,green
C2,10K Turn to Friel (return) vs Full (late),bi,1.5,,,,,,,0,4.25,0,28,28,37.33,12.44,red
D1,Friel to 10K Turn (Full only),uni,3.0,,,,,,,0,2.7,28,28,56,18.67,6.22,orange
D2,10K Turn to 14.8km (Full only),uni,3.0,,,,,,,0,4.25,19,19,38,12.67,4.22,yellow
E1,Friel to 10K Turn (late overlaps),bi,1.5,,,,,,,0,2.7,3,0,3,4.0,1.33,green
F1,Friel to 10K Return (continuing),uni,3.0,,,,,,,0,5.81,2,2,4,1.33,0.44,green
F2,Friel to Station/Barker (shared path),uni,3.0,,,,,,,0,5.81,2,0,2,0.67,0.22,green
F3,Friel to Station/Barker (shared path),uni,3.0,,,,,,,0,5.81,2,0,2,0.67,0.22,green
F4,Friel to Station/Barker,uni,3.0,,,,,,,0,2.7,9,0,9,3.0,1.0,green
G1,Station/Barker to Queen Square (10K to Finish),uni,3.0,,,,,,,0,8.1,2,2,4,1.33,0.44,green
G2,Station/Barker to Queen Square (Half to Finish),uni,3.0,,,,,,,0,19.35,1,1,2,0.67,0.22,green
G3,Station/Barker to Queen Square (Full loop inbound),uni,3.0,,,,,,,0,18.59,3,3,6,2.0,0.67,green
G4,Station/Barker to Queen Square (Full final finish),uni,3.0,,,,,,,0,40.5,1,1,2,0.67,0.22,green
G5,Station/Barker to Queen Square (10K & Half finishes),uni,3.0,,,,,,,0,8.1,2,0,2,0.67,0.22,green
G6,Station/Barker to Queen Square (10K & Full final finish),uni,3.0,,,,,,,0,8.1,2,0,2,0.67,0.22,green
G7,Station/Barker to Queen Square (Half & Full final finish),uni,3.0,,,,,,,0,19.35,1,0,1,0.33,0.11,green
G8,Station/Barker to Queen Square (Half finish & Full loop inbound),uni,3.0,,,,,,,0,19.35,0,3,3,1.0,0.33,green
G9,Station/Barker to Queen Square (10K finish & Full loop inbound),uni,3.0,,,,,,,0,8.1,2,0,2,0.67,0.22,green
H1,Queen Square Loop (Full only),uni,3.0,,,,,,,0,20.54,2,2,4,1.33,0.44,green
H2,Queen Square to Station/Barker (Full returning vs 10K finish),bi,1.5,,,,,,,0,21.65,0,2,2,2.67,0.89,green
H3,Queen Square to Station/Barker (Full returning vs Half finish),bi,1.5,,,,,,,0,21.65,2,0,2,2.67,0.89,green
I1,Station/Barker to Bridge/Mill (Half outbound),uni,3.0,,,,,,,0,4.95,2,2,4,1.33,0.44,green
I2,Station/Barker to Bridge/Mill (Full outbound),uni,3.0,,,,,,,0,23.26,2,2,4,1.33,0.44,green
I3,Station/Barker to Bridge/Mill (Half + Full co-direction),uni,3.0,,,,,,,0,4.95,2,0,2,0.67,0.22,green
J1,Bridge/Mill to Half Turn (Half outbound),uni,3.0,,,,,,,0,10.84,1,1,2,0.67,0.22,green
J2,Bridge/Mill to Half Turn (Full outbound),uni,3.0,,,,,,,0,29.06,2,2,4,1.33,0.44,green
J3,Bridge/Mill to Half Turn (Half + Full co-direction),uni,3.0,,,,,,,0,10.84,1,0,1,0.33,0.11,green
K1,Half Turn to Full Turn (Full outbound spur),uni,3.0,,,,,,,0,31.64,1,1,2,0.67,0.22,green
K2,Full Turn to Half Turn (Full returning spur),uni,3.0,,,,,,,0,33.11,1,1,2,0.67,0.22,green
L1,Half Turn to Bridge/Mill (Half returning),uni,3.0,,,,,,,0,13.43,1,1,2,0.67,0.22,green
L2,Half Turn to Bridge/Mill (Full returning),uni,3.0,,,,,,,0,34.34,1,1,2,0.67,0.22,green
L3,Half Turn to Bridge/Mill (Half + Full co-direction return),uni,3.0,,,,,,,0,13.43,1,0,1,0.33,0.11,green
L4,Bridge/Mill sector counter-flow (optional),bi,1.5,,,,,,,0,34.34,0,1,1,1.33,0.44,green
M1,Bridge/Mill to Station/Barker (Full returning vs Half outbound),uni,3.0,,,,,,,0,36.92,0,1,1,0.33,0.11,green
M2,Bridge/Mill to Station/Barker (Full returning vs Full outbound),uni,3.0,,,,,,,0,36.92,1,1,2,0.67,0.22,green
