seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1,Start to Queen/Regent,Full,Half,368,912,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Full,10K,368,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Half,10K,912,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,0,0,0,0,True,False,False,False,False,0.0,0.06,SPATIAL_ONLY_NO_TEMPORAL,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,Half,368,912,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,10K,368,618,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Half,10K,912,618,overtake,0.9,1.8,0.9,1.8,5.0,34,1,"1620, 1631, 1634, ... (10 total)",1529,3.7,0.2,34,1,126,35,True,True,True,True,True,0.42,0.53,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,Half,368,912,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,10K,368,618,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,False,False,False,False,False,,,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Half,10K,912,618,overtake,1.8,2.7,1.8,2.7,5.0,128,13,"1639, 1642, 1647, ... (10 total)","1606, 1607, 1608, ... (10 total)",14.0,2.1,128,13,1664,141,True,True,True,True,True,0.0,0.06,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B1,Friel to 10K Turn,Full,10K,368,618,overtake,2.7,4.25,2.7,4.25,1.5,11,16,"2884, 2888, 2889, ... (10 total)","1001, 1002, 1005, ... (10 total)",3.0,2.6,11,16,98,27,True,True,True,True,True,0.49,0.59,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B2,10K Turn to Friel,Full,10K,368,618,overtake,14.8,16.35,4.25,5.8,1.5,81,56,"2530, 2532, 2535, ... (10 total)","1576, 1586, 1590, ... (10 total)",22.0,9.1,81,56,563,137,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B3,10K Turn to Friel,Full,10K,368,618,overtake,2.7,4.25,4.25,5.8,1.5,0,0,,,0.0,0.0,0,0,0,0,True,False,False,False,False,0.29,0.39,SPATIAL_ONLY_NO_TEMPORAL,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,Half,368,912,parallel,16.35,18.65,2.7,5.0,3.0,52,56,"2531, 2533, 2537, ... (10 total)","2477, 2479, 2482, ... (10 total)",14.1,6.1,52,56,424,108,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,10K,368,618,parallel,16.35,18.65,5.8,8.1,3.0,171,122,"2548, 2598, 2622, ... (10 total)","1508, 1515, 1516, ... (10 total)",46.5,19.7,171,122,2111,293,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Half,10K,912,618,parallel,2.7,5.0,5.8,8.1,3.0,694,451,"1639, 1647, 1697, ... (10 total)","1071, 1079, 1120, ... (10 total)",76.1,73.0,912,555,81423,1334,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,21.65,23.26,19.2,20.85,1.5,203,431,"2681, 2690, 2698, ... (10 total)","1639, 1697, 1739, ... (10 total)",55.2,47.3,203,431,2905,634,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,21.65,23.26,8.1,9.75,1.5,119,87,"2580, 2598, 2622, ... (10 total)","1536, 1538, 1541, ... (10 total)",32.3,14.1,119,87,632,206,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5.0,10.75,3.0,42,9,"2531, 2533, 2537, ... (10 total)","2521, 2522, 2523, ... (9 total)",11.4,1.0,42,9,335,51,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
