segment_id,t_start,t_end,density_mean,density_peak,n_bins
A1,2025-10-15 07:00:00+00:00,2025-10-15 07:02:00+00:00,0.1070,0.3530,5.0000
A1,2025-10-15 07:02:00+00:00,2025-10-15 07:04:00+00:00,0.1472,0.2810,5.0000
A1,2025-10-15 07:04:00+00:00,2025-10-15 07:06:00+00:00,0.0916,0.1870,5.0000
A1,2025-10-15 07:06:00+00:00,2025-10-15 07:08:00+00:00,0.0252,0.0780,5.0000
A1,2025-10-15 07:08:00+00:00,2025-10-15 07:10:00+00:00,0.0028,0.0130,5.0000
A1,2025-10-15 07:10:00+00:00,2025-10-15 07:12:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:12:00+00:00,2025-10-15 07:14:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:14:00+00:00,2025-10-15 07:16:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:16:00+00:00,2025-10-15 07:18:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:18:00+00:00,2025-10-15 07:20:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:20:00+00:00,2025-10-15 07:22:00+00:00,0.1900,0.7490,5.0000
A1,2025-10-15 07:22:00+00:00,2025-10-15 07:24:00+00:00,0.2458,0.5630,5.0000
A1,2025-10-15 07:24:00+00:00,2025-10-15 07:26:00+00:00,0.1996,0.4740,5.0000
A1,2025-10-15 07:26:00+00:00,2025-10-15 07:28:00+00:00,0.0664,0.1480,5.0000
A1,2025-10-15 07:28:00+00:00,2025-10-15 07:30:00+00:00,0.0182,0.0490,5.0000
A1,2025-10-15 07:30:00+00:00,2025-10-15 07:32:00+00:00,0.0034,0.0170,5.0000
A1,2025-10-15 07:32:00+00:00,2025-10-15 07:34:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:34:00+00:00,2025-10-15 07:36:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:36:00+00:00,2025-10-15 07:38:00+00:00,0.0004,0.0020,5.0000
A1,2025-10-15 07:38:00+00:00,2025-10-15 07:40:00+00:00,0.0004,0.0010,5.0000
A1,2025-10-15 07:40:00+00:00,2025-10-15 07:42:00+00:00,0.1934,0.7490,5.0000
A1,2025-10-15 07:42:00+00:00,2025-10-15 07:44:00+00:00,0.3636,0.7550,5.0000
A1,2025-10-15 07:44:00+00:00,2025-10-15 07:46:00+00:00,0.2862,0.5470,5.0000
A1,2025-10-15 07:46:00+00:00,2025-10-15 07:48:00+00:00,0.1184,0.3360,5.0000
A1,2025-10-15 07:48:00+00:00,2025-10-15 07:50:00+00:00,0.0210,0.0720,5.0000
A1,2025-10-15 07:50:00+00:00,2025-10-15 07:52:00+00:00,0.0022,0.0070,5.0000
A1,2025-10-15 07:52:00+00:00,2025-10-15 07:54:00+00:00,0.0002,0.0010,5.0000
A1,2025-10-15 07:54:00+00:00,2025-10-15 07:56:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:56:00+00:00,2025-10-15 07:58:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 07:58:00+00:00,2025-10-15 08:00:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 08:00:00+00:00,2025-10-15 08:02:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 08:02:00+00:00,2025-10-15 08:04:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 08:04:00+00:00,2025-10-15 08:06:00+00:00,0.0000,0.0000,5.0000
A1,2025-10-15 08:06:00+00:00,2025-10-15 08:08:00+00:00,0.0000,0.0000,5.0000
