bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash,width_m,seg_label,schema_key,window_idx,rate_per_m_per_min,util_percentile,los,util_percent,flag_severity,flag_reason
A1:0.000-0.200,A1,0.0,0.2,2025-10-20T07:00:00Z,2025-10-20T07:02:00Z,0.353,5.528415428204609,B,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,0,66.34098513845531,100.0,A,11.056830856409219,watch,utilization
A1:0.200-0.400,A1,0.2,0.4,2025-10-20T07:00:00Z,2025-10-20T07:02:00Z,0.182,3.162696114444935,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,0,37.95235337333922,99.58847736625515,A,6.32539222888987,watch,utilization
A1:0.400-0.600,A1,0.4,0.6,2025-10-20T07:00:00Z,2025-10-20T07:02:00Z,0.0,0.0,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,0,0.0,49.794238683127574,A,0.0,none,
A1:0.600-0.800,A1,0.6,0.8,2025-10-20T07:00:00Z,2025-10-20T07:02:00Z,0.0,0.0,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,0,0.0,49.794238683127574,A,0.0,none,
A1:0.800-0.900,A1,0.8,0.9,2025-10-20T07:00:00Z,2025-10-20T07:02:00Z,0.0,0.0,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,0,0.0,49.794238683127574,A,0.0,none,
A1:0.000-0.200,A1,0.0,0.2,2025-10-20T07:02:00Z,2025-10-20T07:04:00Z,0.064,0.7698290814161795,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,1,9.237948976994153,98.76543209876543,A,1.539658162832359,watch,utilization
A1:0.200-0.400,A1,0.2,0.4,2025-10-20T07:02:00Z,2025-10-20T07:04:00Z,0.213,2.862486480487983,B,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,1,34.349837765855796,99.58847736625515,A,5.724972960975966,watch,utilization
A1:0.400-0.600,A1,0.4,0.6,2025-10-20T07:02:00Z,2025-10-20T07:04:00Z,0.281,4.51773171016418,B,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,1,54.21278052197016,100.0,A,9.03546342032836,watch,utilization
A1:0.600-0.800,A1,0.6,0.8,2025-10-20T07:02:00Z,2025-10-20T07:04:00Z,0.15,2.6197146808263305,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,1,31.436576169915966,99.1769547325103,A,5.239429361652661,watch,utilization
A1:0.800-0.900,A1,0.8,0.9,2025-10-20T07:02:00Z,2025-10-20T07:04:00Z,0.028,0.5670628025546265,A,0.2,1.0.0,,5.0,Start to Queen/Regent,start_corral,1,6.804753630655518,98.35390946502058,A,1.134125605109253,watch,utilization
