segment_id,t_start,t_end,density_mean_canon,density_peak,n_bins
A1,2025-11-01 07:00:00+00:00,2025-11-01 07:02:00+00:00,0.11888888888888889,0.353,5.0
A1,2025-11-01 07:02:00+00:00,2025-11-01 07:04:00+00:00,0.16044444444444445,0.281,5.0
A1,2025-11-01 07:04:00+00:00,2025-11-01 07:06:00+00:00,0.08711111111111111,0.187,5.0
A1,2025-11-01 07:06:00+00:00,2025-11-01 07:08:00+00:00,0.023111111111111117,0.078,5.0
A1,2025-11-01 07:08:00+00:00,2025-11-01 07:10:00+00:00,0.0016666666666666668,0.013000000000000001,5.0
A1,2025-11-01 07:10:00+00:00,2025-11-01 07:12:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:12:00+00:00,2025-11-01 07:14:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:14:00+00:00,2025-11-01 07:16:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:16:00+00:00,2025-11-01 07:18:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:18:00+00:00,2025-11-01 07:20:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:20:00+00:00,2025-11-01 07:22:00+00:00,0.2111111111111111,0.749,5.0
A1,2025-11-01 07:22:00+00:00,2025-11-01 07:24:00+00:00,0.27155555555555555,0.5630000000000001,5.0
A1,2025-11-01 07:24:00+00:00,2025-11-01 07:26:00+00:00,0.19822222222222222,0.47400000000000003,5.0
A1,2025-11-01 07:26:00+00:00,2025-11-01 07:28:00+00:00,0.05833333333333334,0.148,5.0
A1,2025-11-01 07:28:00+00:00,2025-11-01 07:30:00+00:00,0.014777777777777779,0.049,5.0
A1,2025-11-01 07:30:00+00:00,2025-11-01 07:32:00+00:00,0.0018888888888888885,0.017,5.0
A1,2025-11-01 07:32:00+00:00,2025-11-01 07:34:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:34:00+00:00,2025-11-01 07:36:00+00:00,0.0,0.0,5.0
A1,2025-11-01 07:36:00+00:00,2025-11-01 07:38:00+00:00,0.00044444444444444447,0.002,5.0
