event,runner_id,pace,distance,start_offset
Full,2530,3.933333333,42.2,1
Full,2531,3.966666667,42.2,0
Full,2532,3.983333333,42.2,3
Full,2533,4,42.2,2
Full,2534,4.016666667,42.2,0
Full,2535,4.016666667,42.2,5
Full,2536,4.016666667,42.2,23
Full,2537,4.033333333,42.2,5
Full,2538,4.05,42.2,0
Full,2539,4.05,42.2,3
Full,2540,4.066666667,42.2,3
Full,2541,4.066666667,42.2,0
Full,2542,4.066666667,42.2,4
Full,2543,4.083333333,42.2,0
Full,2544,4.083333333,42.2,1
Full,2545,4.116666667,42.2,0
Full,2546,4.133333333,42.2,0
Full,2547,4.133333333,42.2,4
Full,2548,4.15,42.2,5
Full,2549,4.15,42.2,9
Full,2550,4.2,42.2,4
Full,2551,4.2,42.2,0
Full,2552,4.216666667,42.2,7
Full,2553,4.233333333,42.2,4
Full,2554,4.25,42.2,4
Full,2555,4.25,42.2,2
Full,2556,4.25,42.2,4
Full,2557,4.266666667,42.2,10
Full,2558,4.283333333,42.2,5
Full,2559,4.283333333,42.2,0
Full,2560,4.283333333,42.2,10
Full,2561,4.3,42.2,3
Full,2562,4.316666667,42.2,4
Full,2563,4.333333333,42.2,4
Full,2564,4.333333333,42.2,22
Full,2565,4.383333333,42.2,10
Full,2566,4.416666667,42.2,4
Full,2567,4.416666667,42.2,12
Full,2568,4.416666667,42.2,17
Full,2569,4.45,42.2,19
Full,2570,4.466666667,42.2,5
Full,2571,4.483333333,42.2,4
Full,2572,4.483333333,42.2,17
Full,2573,4.483333333,42.2,9
Full,2574,4.5,42.2,12
Full,2575,4.516666667,42.2,7
Full,2576,4.516666667,42.2,3
Full,2577,4.516666667,42.2,12
Full,2578,4.533333333,42.2,2
Full,2579,4.55,42.2,6
Full,2580,4.583333333,42.2,8
Full,2581,4.616666667,42.2,9
Full,2582,4.616666667,42.2,38
Full,2583,4.65,42.2,2
Full,2584,4.666666667,42.2,13
Full,2585,4.666666667,42.2,7
Full,2586,4.683333333,42.2,16
Full,2587,4.683333333,42.2,7
Full,2588,4.683333333,42.2,10
Full,2589,4.683333333,42.2,18
Full,2590,4.683333333,42.2,6
Full,2591,4.683333333,42.2,16
Full,2592,4.683333333,42.2,15
Full,2593,4.7,42.2,0
Full,2594,4.7,42.2,35
Full,2595,4.716666667,42.2,7
Full,2596,4.733333333,42.2,6
Full,2597,4.733333333,42.2,9
Full,2598,4.733333333,42.2,20
Full,2599,4.75,42.2,8
Full,2600,4.75,42.2,10
Full,2601,4.766666667,42.2,1
Full,2602,4.75,42.2,45
Full,2603,4.766666667,42.2,20
Full,2604,4.766666667,42.2,9
Full,2605,4.783333333,42.2,6
Full,2606,4.783333333,42.2,9
Full,2607,4.783333333,42.2,6
Full,2608,4.8,42.2,5
Full,2609,4.8,42.2,7
Full,2610,4.8,42.2,24
Full,2611,4.8,42.2,29
Full,2612,4.8,42.2,6
Full,2613,4.816666667,42.2,13
Full,2614,4.816666667,42.2,10
Full,2615,4.816666667,42.2,22
Full,2616,4.833333333,42.2,5
Full,2617,4.833333333,42.2,22
Full,2618,4.833333333,42.2,9
Full,2619,4.85,42.2,9
Full,2620,4.85,42.2,28
Full,2621,4.85,42.2,16
Full,2622,4.866666667,42.2,9
Full,2623,4.866666667,42.2,6
Full,2624,4.866666667,42.2,6
Full,2625,4.866666667,42.2,3
Full,2626,4.883333333,42.2,5
Full,2627,4.883333333,42.2,9
Full,2628,4.883333333,42.2,22
Full,2629,4.883333333,42.2,28
Full,2630,4.883333333,42.2,16
Full,2631,4.933333333,42.2,14
Full,2632,4.933333333,42.2,25
Full,2633,4.933333333,42.2,6
Full,2634,4.933333333,42.2,11
Full,2635,4.95,42.2,19
Full,2636,4.95,42.2,15
Full,2637,4.966666667,42.2,6
Full,2638,4.95,42.2,15
Full,2639,4.966666667,42.2,8
Full,2640,4.966666667,42.2,19
Full,2641,4.966666667,42.2,25
Full,2642,4.983333333,42.2,13
Full,2643,4.983333333,42.2,14
Full,2644,4.983333333,42.2,20
Full,2645,4.983333333,42.2,10
Full,2646,5,42.2,4
Full,2647,4.983333333,42.2,11
Full,2648,5,42.2,16
Full,2649,5,42.2,12
Full,2650,5.016666667,42.2,9
Full,2651,5.016666667,42.2,3
Full,2652,5.016666667,42.2,13
Full,2653,5.033333333,42.2,10
Full,2654,5.05,42.2,0
Full,2655,5.05,42.2,11
Full,2656,5.05,42.2,7
Full,2657,5.05,42.2,8
Full,2658,5.066666667,42.2,16
Full,2659,5.083333333,42.2,20
Full,2660,5.083333333,42.2,16
Full,2661,5.116666667,42.2,14
Full,2662,5.116666667,42.2,23
Full,2663,5.116666667,42.2,51
Full,2664,5.15,42.2,11
Full,2665,5.15,42.2,10
Full,2666,5.166666667,42.2,11
Full,2667,5.166666667,42.2,24
Full,2668,5.166666667,42.2,11
Full,2669,5.166666667,42.2,11
Full,2670,5.183333333,42.2,11
Full,2671,5.166666667,42.2,28
Full,2672,5.183333333,42.2,13
Full,2673,5.183333333,42.2,16
Full,2674,5.183333333,42.2,28
Full,2675,5.183333333,42.2,17
Full,2676,5.2,42.2,6
Full,2677,5.2,42.2,14
Full,2678,5.2,42.2,17
Full,2679,5.2,42.2,16
Full,2680,5.2,42.2,36
Full,2681,5.216666667,42.2,18
Full,2682,5.216666667,42.2,22
Full,2683,5.233333333,42.2,16
Full,2684,5.25,42.2,14
Full,2685,5.25,42.2,18
Full,2686,5.266666667,42.2,13
Full,2687,5.266666667,42.2,16
Full,2688,5.266666667,42.2,16
Full,2689,5.283333333,42.2,13
Full,2690,5.283333333,42.2,16
Full,2691,5.283333333,42.2,19
Full,2692,5.3,42.2,17
Full,2693,5.283333333,42.2,78
Full,2694,5.316666667,42.2,13
Full,2695,5.333333333,42.2,15
Full,2696,5.333333333,42.2,21
Full,2697,5.333333333,42.2,36
Full,2698,5.333333333,42.2,23
Full,2699,5.316666667,42.2,100
Full,2700,5.35,42.2,15
Full,2701,5.333333333,42.2,75
Full,2702,5.35,42.2,32
Full,2703,5.366666667,42.2,19
Full,2704,5.366666667,42.2,34
Full,2705,5.383333333,42.2,9
