event,runner_id,pace,distance,start_offset
Half,1618,3.583333333,21.1,0
Half,1619,3.7,21.1,3
Half,1620,3.8,21.1,0
Half,1621,3.816666667,21.1,3
Half,1622,3.816666667,21.1,1
Half,1623,3.85,21.1,22
Half,1624,3.883333333,21.1,2
Half,1625,3.9,21.1,5
Half,1626,3.9,21.1,8
Half,1627,3.933333333,21.1,0
Half,1628,3.966666667,21.1,0
Half,1629,3.983333333,21.1,2
Half,1630,4.016666667,21.1,2
Half,1631,4.033333333,21.1,6
Half,1632,4.033333333,21.1,0
Half,1633,4.033333333,21.1,8
Half,1634,4.05,21.1,0
Half,1635,4.066666667,21.1,9
Half,1636,4.066666667,21.1,5
Half,1637,4.083333333,21.1,4
Half,1638,4.1,21.1,6
Half,1639,4.1,21.1,2
Half,1640,4.116666667,21.1,3
Half,1641,4.116666667,21.1,5
Half,1642,4.133333333,21.1,4
Half,1643,4.133333333,21.1,17
Half,1644,4.15,21.1,6
Half,1645,4.166666667,21.1,4
Half,1646,4.166666667,21.1,3
Half,1647,4.166666667,21.1,2
Half,1648,4.15,21.1,21
Half,1649,4.166666667,21.1,8
Half,1650,4.166666667,21.1,5
Half,1651,4.183333333,21.1,3
Half,1652,4.183333333,21.1,9
Half,1653,4.183333333,21.1,9
Half,1654,4.166666667,21.1,28
Half,1655,4.216666667,21.1,12
Half,1656,4.266666667,21.1,12
Half,1657,4.266666667,21.1,6
Half,1658,4.266666667,21.1,18
Half,1659,4.3,21.1,7
Half,1660,4.3,21.1,4
Half,1661,4.316666667,21.1,3
Half,1662,4.316666667,21.1,9
Half,1663,4.316666667,21.1,5
Half,1664,4.366666667,21.1,5
Half,1665,4.366666667,21.1,9
Half,1666,4.383333333,21.1,13
Half,1667,4.383333333,21.1,5
Half,1668,4.4,21.1,4
Half,1669,4.4,21.1,12
Half,1670,4.4,21.1,16
Half,1671,4.4,21.1,16
Half,1672,4.416666667,21.1,16
Half,1673,4.416666667,21.1,6
Half,1674,4.416666667,21.1,4
Half,1675,4.416666667,21.1,16
Half,1676,4.4,21.1,31
Half,1677,4.433333333,21.1,5
Half,1678,4.433333333,21.1,6
Half,1679,4.433333333,21.1,5
Half,1680,4.45,21.1,16
Half,1681,4.45,21.1,19
Half,1682,4.466666667,21.1,7
Half,1683,4.466666667,21.1,6
Half,1684,4.466666667,21.1,4
Half,1685,4.466666667,21.1,11
Half,1686,4.466666667,21.1,31
Half,1687,4.483333333,21.1,11
Half,1688,4.5,21.1,11
Half,1689,4.5,21.1,8
Half,1690,4.516666667,21.1,5
Half,1691,4.5,21.1,23
Half,1692,4.516666667,21.1,14
Half,1693,4.516666667,21.1,20
Half,1694,4.55,21.1,11
Half,1695,4.55,21.1,19
Half,1696,4.566666667,21.1,12
Half,1697,4.566666667,21.1,21
Half,1698,4.566666667,21.1,9
Half,1699,4.566666667,21.1,15
Half,1700,4.583333333,21.1,14
Half,1701,4.583333333,21.1,23
Half,1702,4.6,21.1,24
Half,1703,4.6,21.1,23
Half,1704,4.616666667,21.1,30
Half,1705,4.633333333,21.1,7
Half,1706,4.616666667,21.1,25
Half,1707,4.65,21.1,6
Half,1708,4.666666667,21.1,12
Half,1709,4.666666667,21.1,8
Half,1710,4.666666667,21.1,27
Half,1711,4.633333333,21.1,73
Half,1712,4.683333333,21.1,6
Half,1713,4.666666667,21.1,34
Half,1714,4.683333333,21.1,21
Half,1715,4.683333333,21.1,14
Half,1716,4.683333333,21.1,15
Half,1717,4.666666667,21.1,35
Half,1718,4.683333333,21.1,13
Half,1719,4.683333333,21.1,8
Half,1720,4.683333333,21.1,30
Half,1721,4.7,21.1,10
Half,1722,4.683333333,21.1,43
Half,1723,4.7,21.1,11
Half,1724,4.716666667,21.1,10
Half,1725,4.716666667,21.1,18
Half,1726,4.716666667,21.1,19
Half,1727,4.716666667,21.1,7
Half,1728,4.733333333,21.1,9
Half,1729,4.633333333,21.1,124
Half,1730,4.716666667,21.1,25
Half,1731,4.733333333,21.1,11
Half,1732,4.7,21.1,54
Half,1733,4.733333333,21.1,11
Half,1734,4.75,21.1,5
Half,1735,4.733333333,21.1,33
Half,1736,4.75,21.1,16
Half,1737,4.75,21.1,17
Half,1738,4.75,21.1,17
Half,1739,4.766666667,21.1,19
Half,1740,4.766666667,21.1,27
Half,1741,4.733333333,21.1,56
Half,1742,4.766666667,21.1,19
Half,1743,4.783333333,21.1,9
Half,1744,4.75,21.1,44
Half,1745,4.783333333,21.1,19
Half,1746,4.783333333,21.1,3
Half,1747,4.783333333,21.1,17
Half,1748,4.816666667,21.1,14
Half,1749,4.816666667,21.1,18
Half,1750,4.783333333,21.1,55
Half,1751,4.816666667,21.1,21
Half,1752,4.833333333,21.1,11
Half,1753,4.833333333,21.1,14
Half,1754,4.833333333,21.1,21
Half,1755,4.833333333,21.1,21
Half,1756,4.833333333,21.1,22
Half,1757,4.833333333,21.1,27
Half,1758,4.833333333,21.1,40
Half,1759,4.85,21.1,35
Half,1760,4.85,21.1,22
Half,1761,4.866666667,21.1,6
Half,1762,4.883333333,21.1,13
Half,1763,4.883333333,21.1,23
Half,1764,4.866666667,21.1,35
Half,1765,4.883333333,21.1,17
Half,1766,4.866666667,21.1,40
Half,1767,4.883333333,21.1,19
Half,1768,4.883333333,21.1,18
Half,1769,4.883333333,21.1,22
Half,1770,4.883333333,21.1,29
Half,1771,4.883333333,21.1,36
Half,1772,4.9,21.1,25
